model,context,condition,n_true_cells,n_pred_cells,pra_all_genes,pra_top100_true_de,pra_nonzero_genes,true_range_mean,pred_range_mean,range_width_ratio
TxPert_official_cell_gat_k562_all_fixed2000,K562,AAMP,76,2000,0.11913552988197806,0.15854585979985814,0.11913552988197806,0.42555338937815873,0.05395978195859488,0.1267990857021558
TxPert_official_cell_gat_k562_all_fixed2000,K562,AARS,38,2000,0.10943753987044885,0.12803997381827625,0.10963378172317528,0.4606339104371347,0.05512467616338835,0.11967133490967373
TxPert_official_cell_gat_k562_all_fixed2000,K562,AATF,254,2000,0.10666066584448038,0.1920183829209442,0.10666066584448038,0.4868897925860078,0.05575438061549033,0.1145112925334711
TxPert_official_cell_gat_k562_all_fixed2000,K562,ABCB7,192,2000,0.1152564865581397,0.1368652177369334,0.11529088121243936,0.44210093754314794,0.054330460375551635,0.12289152664674875
TxPert_official_cell_gat_k562_all_fixed2000,K562,ABCE1,177,2000,0.10101153107261551,0.15266620732445405,0.10101153107261551,0.5197121227875815,0.05617462955826454,0.10808797027108163
TxPert_official_cell_gat_k562_all_fixed2000,K562,ABCF1,159,2000,0.11600381887513248,0.15865887521175068,0.11600381887513248,0.4436649493215194,0.05496948833237258,0.12389864734063157
TxPert_official_cell_gat_k562_all_fixed2000,K562,ABT1,92,2000,0.10562266191422143,0.1941288501327215,0.10562266191422143,0.46077177159994986,0.05326015680446568,0.11558901593220194
TxPert_official_cell_gat_k562_all_fixed2000,K562,ACTB,140,2000,0.11886352217186122,0.12550720844582958,0.11886352217186122,0.43525329623282466,0.05596827334898852,0.12858781897236204
TxPert_official_cell_gat_k562_all_fixed2000,K562,ACTL6A,45,2000,0.11999530143680531,0.13359919812889134,0.12003111024057639,0.4228022587292234,0.053877204684829594,0.12742884480436492
TxPert_official_cell_gat_k562_all_fixed2000,K562,ACTR6,104,2000,0.1204270020881773,0.1613241103189075,0.1204270020881773,0.4195100229922548,0.05570772512663636,0.1327923547603565
TxPert_official_cell_gat_k562_all_fixed2000,K562,ACTR8,242,2000,0.10871238074860894,0.17139996014993067,0.10871238074860894,0.46548709306012404,0.055576553403651065,0.11939440005596158
TxPert_official_cell_gat_k562_all_fixed2000,K562,AHCTF1,161,2000,0.11471714784016204,0.1842566078093386,0.11475138154587382,0.4474613671335514,0.05615887497059962,0.1255055248127889
TxPert_official_cell_gat_k562_all_fixed2000,K562,AHCY,133,2000,0.11752704391474346,0.18170341625501962,0.11752704391474346,0.4319596695684803,0.05502348779895186,0.12738107374725183
TxPert_official_cell_gat_k562_all_fixed2000,K562,AKIRIN2,144,2000,0.1103844214186291,0.1362572061313453,0.11041736215913003,0.4602235638849919,0.0558426348965944,0.12133805842494556
