condition,n_test_cells,n_pred_cells,n_genes,wasserstein_1_pca50,mmd_pca50,energy_pca50
SMG5,82,2000,5000,1.0777651515963709,0.4786260032809224,0.5761803396993878
HNRNPH1,92,2000,5000,1.1128494777032345,0.4817578806400979,0.5307281374166939
RPL10A,195,2000,5000,0.8823037347121678,0.4794685804028715,0.40156105093545075
EIF3E,171,2000,5000,0.8528454903295105,0.4770660567075582,0.41681684865576135
MRPS14,82,2000,5000,1.1512414930096673,0.4814957055510648,0.5582151245361682
EIF3M,209,2000,5000,0.7962119710826647,0.4794438354319531,0.37777995197920133
RPL13,243,2000,5000,0.7988324871691045,0.47749172697693404,0.37949833958760776
SNAPC3,201,2000,5000,0.8033243900264744,0.4775177436489576,0.36102216147314253
NBAS,94,2000,5000,1.100980881751178,0.49963147130187247,0.5557958319544593
ELP5,167,2000,5000,0.8496733167598172,0.49075664409794967,0.4222874435830881
RPS6,165,2000,5000,0.927881239634859,0.4774710502481527,0.40936695323445244
SEC13,43,2000,5000,1.449512279066218,0.4776573221476028,0.698790983116946
SFSWAP,145,2000,5000,0.9522221465590787,0.5002698232601157,0.4725802943267047
SLU7,195,2000,5000,1.0495222904099268,0.4809495475607487,0.5156492510973881
POLA1,195,2000,5000,0.8279338185972365,0.4745395831699918,0.39348228214033826
GFER,198,2000,5000,0.8107023767641397,0.5015200680018347,0.4036433678143012
C1QBP,189,2000,5000,0.8480044842184065,0.4879871961364816,0.4100014923955589
SNRNP200,92,2000,5000,1.240776448817985,0.4690891222799968,0.567528524362256
NUDC,106,2000,5000,1.0717070832500237,0.507057777453554,0.5524567783233907
PCF11,393,2000,5000,0.7651544615897595,0.4936932074895094,0.3588753117679817
PSMA3,194,2000,5000,0.8984530739557651,0.46999546961529914,0.4105043675025935
RPS26,73,2000,5000,1.1821425906753062,0.4662014634706538,0.5377443391810437
GRPEL1,96,2000,5000,1.1214445851444825,0.48032231987161145,0.5306452103993502
PHF5A,197,2000,5000,0.8892808249573324,0.48404765152651064,0.4223534342856168
ZNHIT6,116,2000,5000,1.002954760199374,0.4839321750968275,0.5024260397381279
SRBD1,143,2000,5000,0.9568131080424098,0.4559251697563205,0.42420706212268994
MFAP1,164,2000,5000,1.0318499756501203,0.46953470563217303,0.47422556449727105
RPS19,410,2000,5000,0.6861960405465852,0.47915809822949806,0.29226316576797023
ARGLU1,367,2000,5000,0.6561033657898083,0.5076230230534311,0.31472618276780506
GTF2E2,69,2000,5000,1.2074581095794885,0.47450853254432795,0.5592198274630921
DYNLRB1,192,2000,5000,0.927780029229109,0.48638672278734313,0.4657012901843139
TSR2,486,2000,5000,0.7557648518843372,0.5256748492628944,0.47212274372584895
COG2,332,2000,5000,0.6818529431246618,0.5090706322848504,0.3222651316276771
SFPQ,185,2000,5000,1.0963953072484458,0.5043478775892547,0.6186154277052796
MRPL18,128,2000,5000,0.9092228589094989,0.4719987456190485,0.41265993539837775
NAA15,107,2000,5000,1.0353903431245366,0.5019052038980568,0.4932835804290928
DONSON,688,2000,5000,0.7345677372817481,0.5025952290290308,0.4768730620083491
RARS2,139,2000,5000,0.9052823035942545,0.49344541903320965,0.4371707840408793
RPF1,108,2000,5000,0.9657300127462973,0.4678730221932837,0.442021989953789
ZBTB17,158,2000,5000,0.9275046692925002,0.5007339450199104,0.46608975992341817
DPH2,161,2000,5000,0.8835702556348569,0.5118049097469687,0.45574610787763326
TAF10,38,2000,5000,1.606528405606803,0.491407081187471,0.7274022639521366
XPO1,139,2000,5000,1.0766800398169254,0.4877383056191655,0.5528274266039489
NUP54,266,2000,5000,0.755167053048089,0.4960371310769494,0.35062216725771755
SSRP1,440,2000,5000,0.7639109508752975,0.5156150912596259,0.3969204223933213
SON,238,2000,5000,0.980296929951364,0.47783410557096384,0.5315454554217287
BGLAP,236,2000,5000,0.9131891759022308,0.48773826391647257,0.439131407730911
PSMD7,175,2000,5000,1.0893819817373742,0.49118550726618204,0.4944578727350441
SUGT1,94,2000,5000,1.0472434498754308,0.4888401906275096,0.5694251565613445
CENPE,171,2000,5000,0.888121999174118,0.4624787908735319,0.39404819693777504
MZT1,381,2000,5000,0.6450116193646623,0.46255235408573314,0.28741311161074234
NFRKB,223,2000,5000,0.7911105826389287,0.48758865458177325,0.36286092895606104
RPS14,156,2000,5000,0.9050530690220685,0.4779500318489487,0.40873592945458065
SNRPG,325,2000,5000,0.7775518180407147,0.49102899827909186,0.3663601748280365
MRPL38,132,2000,5000,0.9116951909736097,0.48947655599164663,0.4147315961202142
MAGOH,149,2000,5000,0.9654141501426935,0.49865940958339605,0.5067333545944321
DNTTIP2,235,2000,5000,0.9036147665236929,0.5069425910665397,0.5408674515580363
U2AF1,141,2000,5000,1.0309821567753905,0.48552372232504853,0.5136936289236588
NOL6,107,2000,5000,1.0763405004627753,0.49813044303996,0.5231608489167674
SF3A2,236,2000,5000,0.8460559671795214,0.4834436053600894,0.4048589790595771
TXN,81,2000,5000,1.0340978680607094,0.48502617695200373,0.48842040655239055
ORC5,89,2000,5000,1.0718554296128608,0.49430403646042104,0.5257536981220409
DDX49,41,2000,5000,1.4346687698310643,0.48632439858206267,0.6936628834430137
ANKRD11,184,2000,5000,0.7963906710910856,0.502026028024739,0.4131811028915798
CCDC86,235,2000,5000,0.7546705265857352,0.48293850085638373,0.3576860354280664
RPS21,63,2000,5000,1.2413688210384008,0.4907764541552781,0.5980333026681062
POLE,154,2000,5000,0.902442227277202,0.4596938729306531,0.40995510322902734
TRMT10C,67,2000,5000,1.1292581003727395,0.4929668606339608,0.5411974989609285
