condition,n_test_cells,n_pred_cells,n_genes,mean_pearson,mean_spearman,perturbation_effect_pearson,perturbation_effect_spearman,r_squared,mse,wasserstein_1_pca50,mmd_pca50,energy_pca50,repeat
GFM1+ctrl,230,2000,5000,0.9986899236646146,0.9880983326119332,0.6738177132320624,0.5157515319879514,0.9970651620533317,0.0003849083539666,0.7549940354834148,0.5346259017054172,0.3592249478213136,0
GNL3+ctrl,29,2000,5000,0.9947866922144966,0.9441659061171638,0.7601821283859077,0.5684522218420888,0.9895091196522117,0.0013260791120435426,1.544468742088807,0.4812953385633124,0.7300750821704493,0
GNL3L+ctrl,66,2000,5000,0.99752039691635,0.9685356852054274,0.7432531146763194,0.5351649560788181,0.994828412309289,0.000672482128815818,1.100887284988999,0.5029530561277846,0.5134207003207285,0
GPKOW+ctrl,105,2000,5000,0.9958410724569199,0.9663153992518075,0.48462986615029613,0.3914569096986462,0.9910239214077592,0.0011698163230251,1.0609114284188903,0.5042430815354151,0.5127146326390123,0
GRPEL1+ctrl,96,2000,5000,0.9980636861621377,0.976604686264187,0.9199678609222893,0.7355940437934161,0.9961230256594718,0.0004935371472621501,1.132016582358144,0.5120177999394434,0.537025006977821,0
GTF2E1+ctrl,176,2000,5000,0.9985363979740712,0.9835639675025585,0.7849753314269,0.597387992021857,0.9970609087031335,0.0003645398705374979,0.8624941936882722,0.5252241180865382,0.40255727244443695,0
GTF2E2+ctrl,69,2000,5000,0.996844400820356,0.9658457779618309,0.7212942289339278,0.5320699431098765,0.9936955193988979,0.0007824812665532394,1.2021159112406823,0.506545217363341,0.5552804523958886,0
HAUS5+ctrl,153,2000,5000,0.9984898472587709,0.9820379468090868,0.6129489408151251,0.4074812979445906,0.9969782745465636,0.00038255079226049766,0.899087788536843,0.4866148222024053,0.3949069258381989,0
HEATR1+ctrl,216,2000,5000,0.992627832197888,0.9749281462525243,0.8197494440899146,0.695309482181754,0.9848222518339753,0.0017438567611194468,0.8996816989187145,0.5173555387120706,0.4352700990441529,0
HGS+ctrl,96,2000,5000,0.9935526191146582,0.9624801301703048,0.6390336089996714,0.5247346276705724,0.9869012990966439,0.0016976361435814234,1.1190236540167469,0.5158013389062838,0.535145279810079,0
HIRA+ctrl,228,2000,5000,0.99786259733283,0.9843068023078955,0.16084424861767962,0.12020232870186283,0.9953171745873988,0.0006090813363904781,0.7446212978246664,0.5111007825457345,0.3562925276418946,0
HNRNPH1+ctrl,92,2000,5000,0.9933009115019317,0.9594115572474883,0.26956066565433345,0.21871567758062704,0.9865185264497995,0.001684696848765872,1.1155322637910106,0.5051878850390645,0.5311185584774776,0
HNRNPM+ctrl,128,2000,5000,0.9961267429402578,0.9728847011147372,0.41248312116195734,0.3099327632773105,0.9921916252933443,0.001003306553761925,0.9312597765774978,0.5137331492694468,0.4564042095672843,0
HNRNPU+ctrl,73,2000,5000,0.9930429216503657,0.9554108917273654,0.24978918239978928,0.2370757802784108,0.9859940847381949,0.0018207559648354312,1.1042659524187226,0.5118171905643415,0.525034274937114,0
HSCB+ctrl,85,2000,5000,0.9980017151671071,0.9740097364397654,0.5735702386336375,0.3742515453209361,0.9958838629536331,0.0005379548879013381,1.082208494571561,0.5252373491264815,0.5408003696782933,0
HSD17B12+ctrl,135,2000,5000,0.9965922621802907,0.9734121631284863,0.6868187479610455,0.5193680309436509,0.9931876645423472,0.0008762692142676242,0.9775687989578801,0.5160035209886893,0.4748352028034878,0
HSPA8+ctrl,146,2000,5000,0.9848535436909176,0.9548815188581778,0.4884966943735873,0.44398950546620325,0.9691915288567543,0.004013151259846205,1.03077530169205,0.5069840437477472,0.524733848051465,0
HSPE1+ctrl,25,2000,5000,0.9891035550256619,0.9266909181743089,0.7063232843874533,0.5097068160485055,0.9781935475766659,0.0028840889056053337,1.8741664421516084,0.4943453164878158,0.9268325474765482,0
IGBP1+ctrl,245,2000,5000,0.9953127494474818,0.97531830404414,0.6221623006755852,0.4564444991655986,0.9898237306624651,0.0012389506247354473,0.8502834155193625,0.519707449582688,0.3850876950720457,0
ISCU+ctrl,32,2000,5000,0.9903777044410497,0.92436827436112,0.5758297596034022,0.38382386470180174,0.9804152436554432,0.0024333693937855145,1.5942049917668526,0.4601343922216696,0.6965896390212326,0
KRI1+ctrl,51,2000,5000,0.9941839755819845,0.9600164902489828,0.7249523783812528,0.4551832401011785,0.9880576198920608,0.0014297649467389373,1.1933811562516783,0.49579689890567225,0.559695151269759,0
LSM4+ctrl,68,2000,5000,0.9938612212775786,0.9602045419512266,0.841917167005944,0.7127936137917444,0.9875345723703504,0.001652840898092149,1.1677553237085845,0.5184953648375116,0.5828823782936593,0
MAGOH+ctrl,149,2000,5000,0.9931545955014117,0.9724914930436597,0.4878395255283154,0.40883087634704696,0.9860443221405149,0.0017643404261049704,0.9363242812910672,0.5054102245910563,0.4606471972626923,0
MCM10+ctrl,190,2000,5000,0.9953821992645764,0.9814598553543943,0.7676721626352178,0.6572466484816398,0.9907506490126252,0.0011589777793973002,0.8371693178735816,0.5057311961649479,0.40086889903351325,0
MCM3AP+ctrl,100,2000,5000,0.9959634438467099,0.9703543107414607,0.5925228184099198,0.36858374153788764,0.991714196279645,0.0010391747744032862,1.0298891537693888,0.5185851666966783,0.49752974849833703,0
MDN1+ctrl,68,2000,5000,0.996533288040018,0.9651769440150775,0.6048258902770173,0.3970392405916853,0.9929850953631103,0.0009040181856657398,1.1206006751372513,0.48808474520083533,0.5224563704080459,0
MED20+ctrl,78,2000,5000,0.9961116024896912,0.9661482242923041,0.8869984126718913,0.7051556342222253,0.9921437697485089,0.0009084939417149089,1.3816143168737214,0.5204701995238357,0.6645542254440122,0
MED26+ctrl,99,2000,5000,0.9945633634002304,0.9650851717554065,0.4865252378330063,0.2647224691743121,0.9882655832916498,0.0014840774086002115,1.07187931347086,0.5205162092646145,0.5273677854559542,0
MED31+ctrl,35,2000,5000,0.9884511644078666,0.924859742619031,0.4931691852484278,0.3078974794838992,0.9758240412920713,0.002994929715296134,1.5663708549830009,0.49927483659141153,0.7657154884386621,0
MED8+ctrl,94,2000,5000,0.9958345922373348,0.9665674355266972,0.8510081213147107,0.6697791559113158,0.9916512854397297,0.0009716647113467646,1.2255467227450083,0.5019139432142606,0.5672343052681686,0
MFAP1+ctrl,164,2000,5000,0.9931897787615133,0.9609438434528165,0.8336836967284681,0.7428663376099687,0.9860096275806427,0.0017130271064232552,1.0259864529631018,0.510320708713532,0.45932435061601135,0
MRPL18+ctrl,128,2000,5000,0.9987277491614168,0.9803836463513457,0.8516888139032777,0.5918212459856645,0.9974128811154515,0.0003409866600654923,0.9155624462474627,0.4983194058609666,0.41668413801686843,0
MRPL3+ctrl,146,2000,5000,0.9986188630107333,0.9820057958562318,0.7943995670852493,0.5401855987663173,0.9972388467285782,0.00036316190260345083,0.8771903180766892,0.5110578950888497,0.4164305379931647,0
MRPL32+ctrl,62,2000,5000,0.9979499315136622,0.968336779437471,0.7247340997782606,0.4378717137653775,0.9957966059446335,0.0005637933947697251,1.1435620056306426,0.5056424170812905,0.5540985688458119,0
