source_context_count,pcc_delta,spearman_delta,topk_de_overlap,pra_all_genes,pra_top100_true_de,csa_pearson,csa_spearman
1,0.2550637572972061,0.1829017659574544,0.2598666666666667,0.7682617233493122,0.6618446016156264,0.3398077489876167,0.298782953947328
2,0.3054226030793419,0.2205839557632417,0.2799382716049383,0.8468364350868813,0.7613964946158833,0.365348907996324,0.3315326580731828
3,0.3203005449954668,0.2243310281458953,0.2862099125364432,0.8726366855034696,0.8033194701734642,0.3911830039348149,0.3586209120887184
