interaction_context,delta_pcc_mean,top100_de_overlap_mean,erc_true_top100_de_mean,csa_pearson_mean,delta_pcc_sd,top100_de_overlap_sd,erc_true_top100_de_sd,csa_pearson_sd
K562,0.3080005706776736,0.3105401844532279,0.8162689874867354,0.5226278625052085,0.03348639875382719,0.02067183599206588,0.026205926270173662,0.0033607376955521197
RPE1,0.2716043747196056,0.27139657444005266,0.7309716350094956,0.42295991070880085,0.007423279733533417,0.0032911122040975983,0.012567170758211699,0.004855353637695001
HepG2,0.24976040725322435,0.25650197628458493,0.7050787012383206,0.4715366009355579,0.030900816414520277,0.012496824261868964,0.02905473235177056,0.008948487695965193
Jurkat,0.2954906592469179,0.30679183135704874,0.8100840747553164,0.5108469086338469,0.034801621103798724,0.018083234337647042,0.02540346904053721,0.004841224064864338
