interaction_context,delta_pcc,top100_de_overlap,erc_true_top100_de,csa_pearson,seed
RPE1,0.2800159949754842,0.27472332015810275,0.7431617511270314,0.4284184957274371,base
RPE1,0.2659707811678034,0.2681422924901186,0.7316945372503187,0.419122761646125,seed20260713
RPE1,0.2688263480155291,0.27132411067193674,0.7180586166511369,0.42133847475284036,seed20260714
hepg2,0.27750695019903315,0.26790513833992097,0.7364217698761588,0.48170141488872736,base
hepg2,0.21645887103533626,0.2584584980237154,0.6997699130952878,0.4648470691915922,seed20260713
hepg2,0.25531540052530377,0.24314229249011857,0.6790444207435151,0.4680613187263542,seed20260714
jurkat,0.3300488654527153,0.3248221343873518,0.8394073724218528,0.5054126716846888,base
jurkat,0.2604506265700763,0.28865612648221345,0.7947557927670782,0.5146994794550814,seed20260713
jurkat,0.2959724857179621,0.306897233201581,0.796089059077018,0.5124285747617703,seed20260714
