interaction_context,delta_pcc_mean,delta_pcc_std,top100_de_overlap_mean,top100_de_overlap_std,erc_true_top100_de_mean,erc_true_top100_de_std,csa_pearson_mean,csa_pearson_std
RPE1,0.2716043747196056,0.007423279733533417,0.27139657444005266,0.0032911122040976395,0.7309716350094956,0.012567170758211699,0.42295991070880085,0.0048553536376949955
hepg2,0.24976040725322438,0.030900816414520277,0.256501976284585,0.012496824261868954,0.7050787012383206,0.02905473235177056,0.47153660093555794,0.008948487695965207
jurkat,0.2954906592469179,0.034801621103798724,0.30679183135704874,0.018083234337647,0.8100840747553164,0.02540346904053721,0.5108469086338469,0.004841224064864338
