model,condition,n_test_cells,n_pred_cells,pra_all_genes,pra_top100_true_de,pra_nonzero_genes,true_range_mean,pred_range_mean,range_width_ratio,csa_pearson,csa_spearman,n_corr_pairs
CellFlow_ESM2_1000k_fixed2000,ACTR8,242,2000,0.6893703018348704,0.6830142468031498,0.7414178337651864,0.4106078771811724,0.3506174030214921,0.8538983845816217,0.6381828523301545,0.4495656074620276,4950
CellFlow_ESM2_1000k_fixed2000,ALG13,167,2000,0.6920481518950925,0.6655544768060392,0.7351265688284392,0.39057031126618386,0.34216526373263456,0.8760657271244562,0.37254641745084466,0.28437047943064037,4950
CellFlow_ESM2_1000k_fixed2000,ANKRD11,184,2000,0.7528755842115026,0.6075797980546508,0.7973687610797529,0.3542424905060978,0.3447027256686614,0.9730699588753253,,,0
CellFlow_ESM2_1000k_fixed2000,AP2S1,96,2000,0.7323432769646779,0.6586471943420598,0.7641311320583035,0.39338545856587587,0.3518345844178275,0.8943761818255153,0.5067446819723881,0.44327570248935405,4950
CellFlow_ESM2_1000k_fixed2000,ARGLU1,367,2000,0.7280052655631836,0.6621528921001975,0.7596048263388809,0.3896749870379271,0.3469564960240946,0.8903740490541809,0.7215837947078421,0.5367916720360942,4950
CellFlow_ESM2_1000k_fixed2000,ARIH1,57,2000,0.6743838539788174,0.6443668278567597,0.7183466701947352,0.40285821279384193,0.3456507440811396,0.8579960221836719,,,0
CellFlow_ESM2_1000k_fixed2000,ARPC4,188,2000,0.6940459705978761,0.67063537596654,0.7347511863200044,0.40133394595742233,0.34087792749810975,0.8493623101950952,0.408384657997483,0.3380621984720823,4950
CellFlow_ESM2_1000k_fixed2000,ATP6AP1,114,2000,0.7071393209053741,0.6284352481935059,0.7454557462633082,0.4001746564552189,0.34558911456502983,0.8635957050011303,0.5827514581579581,0.536929445293055,4950
CellFlow_ESM2_1000k_fixed2000,BGLAP,236,2000,0.6927756037691181,0.6367427005227789,0.7187960196815917,0.4211694694008678,0.3440337721329928,0.8168535402682346,0.5793620151542428,0.5490998552161284,4950
CellFlow_ESM2_1000k_fixed2000,BMS1,18,2000,0.6271377110831948,0.5822000845617454,0.6796030679271726,0.3849434698913247,0.3510870826918633,0.9120484178910228,0.17765869360506703,0.17397858996613635,4950
CellFlow_ESM2_1000k_fixed2000,BRIX1,95,2000,0.6100498561757346,0.5713726798343406,0.6697956260163972,0.43786079830035585,0.34197949946019807,0.7810233315877096,0.6156165833745729,0.6108766612670071,4950
CellFlow_ESM2_1000k_fixed2000,BYSL,87,2000,0.6862660474918651,0.6662843810102258,0.7228418448408102,0.41071775849156095,0.34492004181996,0.8397982183354925,0.8049792350498849,0.7456834798274198,4950
CellFlow_ESM2_1000k_fixed2000,C1QBP,189,2000,0.6661525750793853,0.6013102535109845,0.7006232384091137,0.4071841783466192,0.3372031270103157,0.8281341587964857,0.556751147741619,0.5034471716290627,4950
CellFlow_ESM2_1000k_fixed2000,CCDC86,235,2000,0.7498926076592441,0.6516185363072463,0.7780583187997969,0.3874881086713075,0.3463801938696206,0.8939118030159803,,,0
CellFlow_ESM2_1000k_fixed2000,CDC123,96,2000,0.7006857968554651,0.6052566750913987,0.7498777791689482,0.3836771973412484,0.3465582131009922,0.9032546513124105,0.4698272626461316,0.38528681285393235,4950
CellFlow_ESM2_1000k_fixed2000,CDC23,158,2000,0.7234214892715463,0.6323666998010536,0.748883529266611,0.38775340615786624,0.3394234667593614,0.875359084843659,0.5070902144026967,0.46385623441919116,4950
CellFlow_ESM2_1000k_fixed2000,CDC40,84,2000,0.6445732753591821,0.6349675994251802,0.7237517127320706,0.40086148380227393,0.34620560658045124,0.8636539567149288,,,0
CellFlow_ESM2_1000k_fixed2000,CENPC,116,2000,0.6484755319033576,0.5766974178056613,0.6942992846931023,0.4233817051589489,0.33851463183231656,0.7995495027477133,,,0
CellFlow_ESM2_1000k_fixed2000,CENPE,171,2000,0.7200633318915155,0.6622101757791928,0.7587600968298372,0.403074008256942,0.34635837105467926,0.859292248965582,,,0
CellFlow_ESM2_1000k_fixed2000,CHERP,54,2000,0.664570571251335,0.5294824497982206,0.7280571551833206,0.3783921334876121,0.3423051867082716,0.9046308218758942,0.4381789916059425,0.4043456529215095,4950
