condition,n_test_cells,n_pred_cells,n_genes,mean_pearson,mean_spearman,perturbation_effect_pearson,perturbation_effect_spearman,r_squared,mse,wasserstein_1_pca50,mmd_pca50,energy_pca50
DDX41+ctrl,259.0,2000.0,5000.0,0.9836645773812004,0.9320548378901933,0.3477010048479044,0.24204243171950626,0.9645469561219215,0.0047450190360817796,0.8777023375290048,0.5133773070898989,0.4718829670699624
DDX49+ctrl,41.0,2000.0,5000.0,0.9946572411901965,0.9526527813717205,0.5100703528888496,0.2506481341619875,0.9890849255025387,0.0013479503197273784,1.4541813004284088,0.5209759467336343,0.7178610234293332
DDX5+ctrl,130.0,2000.0,5000.0,0.9958763795881976,0.9741267507730698,-0.05231006664458064,0.03534876290279888,0.9914269642904401,0.001136779515182928,0.9215178641148282,0.5449678065343797,0.47455534313483466
DDX52+ctrl,106.0,2000.0,5000.0,0.997608571645958,0.9797015734280629,0.8731019630266167,0.6378237141348719,0.9952220623381436,0.0005614835813419097,1.0230256337105408,0.5018683965187439,0.4663838214312521
DDX54+ctrl,68.0,2000.0,5000.0,0.9971653668141104,0.9696806041690412,0.7097081710259974,0.5222155257936874,0.9941230989061296,0.0007505432972353892,1.0964080632091624,0.48248088323428745,0.5052327303909044
DERL2+ctrl,122.0,2000.0,5000.0,0.9960698060588838,0.9729314578932583,0.46119492558683167,0.33814873927852745,0.9919595122337341,0.001000944759697083,1.0680956557734738,0.5028600038262385,0.5060881213390364
DHX37+ctrl,202.0,2000.0,5000.0,0.9975346628712998,0.9847694533747781,0.8334481284391321,0.6317453615258144,0.9949836651794612,0.0005948894944200925,0.840490792889025,0.5409772660829055,0.4098947909694947
DLD+ctrl,283.0,2000.0,5000.0,0.9856535591979453,0.9415621301810828,0.3729856424496447,0.28667252943954163,0.9702199120074511,0.0036801387977055747,0.8483917584966346,0.5313632137278621,0.4668563966469765
DNAJC8+ctrl,260.0,2000.0,5000.0,0.9984924839503352,0.9868590072183601,0.3181418961825928,0.2724708172675292,0.9968315293081105,0.0004098822219340404,0.7545627704889456,0.5317140845291821,0.36558778818754023
DNTTIP2+ctrl,235.0,2000.0,5000.0,0.9950943726943542,0.9830001511027822,0.954424991631126,0.8496320608944559,0.9884848175570369,0.0012963294813981034,0.8237959568107739,0.5243694847968885,0.3955620719603113
DONSON+ctrl,688.0,2000.0,5000.0,0.9978986400893526,0.9912217843926608,0.8520217891265777,0.7360879052531825,0.9957891483791173,0.0005288225893810465,0.630686977352105,0.5318609914280896,0.28830233515597853
DPH2+ctrl,161.0,2000.0,5000.0,0.9976092308781336,0.9803343808773752,0.1197148194259222,0.05929123457076433,0.9951681150123477,0.0006284667200518164,0.859611770396276,0.5239802945105237,0.42014122168590456
DYNC1H1+ctrl,217.0,2000.0,5000.0,0.9983844569548097,0.983401172424047,0.7949482954091017,0.6134443660712199,0.9966489423532039,0.00040915693917135823,0.9080397189873253,0.5001872539673013,0.3943765619671573
DYNLRB1+ctrl,192.0,2000.0,5000.0,0.9983636299600712,0.9833191461807655,0.6462099604856303,0.45993077311946096,0.996696054469794,0.00040952848947594116,0.8952248952234302,0.5174225294250104,0.40233310976963904
E4F1+ctrl,130.0,2000.0,5000.0,0.9953587002267356,0.9714823655299256,0.3329876013795209,0.2438692510784757,0.9903465397655964,0.0012733880717311968,0.9708960468156006,0.515500115826265,0.4717489348991157
EBNA1BP2+ctrl,68.0,2000.0,5000.0,0.9971708002779743,0.9713079029483158,0.8534283018082502,0.6812213476332033,0.9943378265015781,0.0007161574111070958,1.0835302420497683,0.47475142679558646,0.4876836017170382
ECD+ctrl,69.0,2000.0,5000.0,0.9950703920625933,0.958226602485054,0.5917444564947298,0.44213637391451127,0.9901556931436062,0.0012424591041627527,1.232045168404278,0.5050084286756288,0.5839622249478147
EIF2B3+ctrl,96.0,2000.0,5000.0,0.9967479854007611,0.9726467255298691,0.9409615487816361,0.7915148842075919,0.9934041448868811,0.0008485463224874827,1.1158546030334755,0.5171529132945056,0.5274330181894313
EIF2S1+ctrl,208.0,2000.0,5000.0,0.9758527319693184,0.9435549987022,0.9267606047261132,0.8478724747468989,0.9514325931668282,0.005892146013358888,1.022164333086839,0.54366153962186,0.5697230212256251
EIF3E+ctrl,171.0,2000.0,5000.0,0.9892288469031438,0.9630818835152753,0.5428698008665321,0.4656713570172064,0.9763495363295078,0.003089438629400681,0.8764147322381693,0.5209088669921453,0.46085761617088083
EIF3F+ctrl,36.0,2000.0,5000.0,0.9925901896556476,0.9386765650991898,0.4997240080064211,0.3400589620105199,0.9850892778486013,0.0018958706226919987,1.3665137117644681,0.4532364244488863,0.6057900195282593
EIF3G+ctrl,52.0,2000.0,5000.0,0.9911302232212008,0.9499627308485047,0.7066941302102482,0.5087959143366808,0.9814796485006809,0.0022873716835618,1.1777515536905052,0.48086236575730673,0.5456030565460831
EIF3J+ctrl,72.0,2000.0,5000.0,0.9949001352032514,0.9649981854550875,0.39333767577694634,0.23231641798623232,0.9885887783020735,0.0014770997038963177,1.1234623740266898,0.4945760559877743,0.5553828053845138
EIF3M+ctrl,209.0,2000.0,5000.0,0.9933341730656035,0.9720377864408399,0.646893361149225,0.5343243700449747,0.9855474727228284,0.001870233353814697,0.8116604892796403,0.5277864922914776,0.4069422910799369
