condition,n_true_cells,n_pred_cells,mean_pcc,mean_spearman,delta_pcc,delta_spearman
RPF1,108,2000,0.9938299885225039,0.9588129494885178,0.6660803551103895,0.47563619665744783
ZBTB17,158,2000,0.9889833588378019,0.9387319768198087,0.13323511957784417,0.13509119307088993
DPH2,161,2000,0.9878006537998758,0.9319790343415288,0.024959341030692198,-0.0059639667345586685
TAF10,38,2000,0.9881729448087835,0.9232584255904851,0.803314680441197,0.5230654481831715
XPO1,139,2000,0.9733633857651924,0.9199972456638896,0.37373655735321737,0.2710959728598389
NUP54,266,2000,0.9956576883918592,0.9686120071284801,0.761450884641188,0.5745869349652675
SSRP1,440,2000,0.9856515569037878,0.9226642717865707,0.20821562169510208,0.19646847819473912
SON,238,2000,0.9608813355917277,0.8687154860334686,-0.22339316050445232,-0.20198824023952958
BGLAP,236,2000,0.989986408864527,0.9253598737726035,-0.17427565707107287,-0.09792400424166049
PSMD7,175,2000,0.9885941449192084,0.9616188597767542,0.8833465678874712,0.7611222487808899
SUGT1,94,2000,0.9804817296362784,0.9272543929524298,0.012045675481379397,0.009882760379784786
CENPE,171,2000,0.9934165587341969,0.9506261131266744,0.30468818077408916,0.20115639224791124
MZT1,381,2000,0.9952476151912484,0.9611459547569058,0.24248024954128913,0.10459013799913601
NFRKB,223,2000,0.9926422115072469,0.9464503633527294,0.28054684793605794,0.15369355494280812
RPS14,156,2000,0.9929371649311481,0.9700996951879877,0.8290720862161681,0.7207073882068896
SNRPG,325,2000,0.9914939537919112,0.9527207912836969,0.6944347408409011,0.5759924610236984
MRPL38,132,2000,0.9974872858567724,0.9713369745334788,0.6032185910177085,0.3555069014608082
MAGOH,149,2000,0.9839878367873255,0.9256592210805846,0.36937919538192693,0.2156463081458523
DNTTIP2,235,2000,0.9711017766651895,0.9165836982593437,-0.2609517737412095,-0.21356183145959876
U2AF1,141,2000,0.9873030292719696,0.9333604679392199,0.5838767657944679,0.45909334952675224
NOL6,107,2000,0.9842721348147274,0.940555473273939,0.6906872952781236,0.4966820304191219
SF3A2,236,2000,0.99330025354359,0.9537481831099273,0.7217536902649574,0.6081694984999719
TXN,81,2000,0.9936376149056527,0.9441044197801767,0.4958962597947272,0.36050510181611684
ORC5,89,2000,0.9943133401237664,0.9592017837030921,0.3591976850277317,0.08772422069507421
DDX49,41,2000,0.9920765560492053,0.9408214305783669,0.25382838432113425,0.1116472924899303
ANKRD11,184,2000,0.9878911039430996,0.938510177860407,-0.24959062664666085,0.02137751648761372
