batch_time_avg,batch_time_cv_percent,batch_time_max,batch_time_max_min_ratio,batch_time_min,batches_per_second,cumulative_flops,cumulative_flops_val_sync,epoch,step,train/gradient_norm,train_loss,val_loss
,,,,,,114880484999168.0,,0,49,13.219557762145996,4.331709384918213,
4.285593032836914,230.1363525390625,56.20135498046875,231.08560180664062,0.24320578575134277,0.23333993554115295,229760969998336.0,,0,99,5.716230392456055,1.472247838973999,
2.0581321716308594,176.92160034179688,16.677583694458008,76.41043853759766,0.2182631492614746,0.48587745428085327,344641463386112.0,,0,149,3.4856300354003906,0.8712064027786255,
,,,,,,459521939996672.0,,1,199,3.4360909461975098,0.7895224094390869,
1.5112605094909668,216.62535095214844,20.968416213989258,118.0615005493164,0.17760586738586426,0.6616992950439453,574402416607232.0,,1,249,3.170409679412842,0.8304233551025391,
0.48822247982025146,81.58209228515625,2.4042410850524902,12.062573432922363,0.19931411743164062,2.0482466220855713,689282926772224.0,,1,299,2.8928539752960205,0.9187440872192383,
0.46524250507354736,61.353721618652344,1.0733487606048584,5.277890682220459,0.20336699485778809,2.14941668510437,804163369828352.0,,1,349,3.1830708980560303,0.718778133392334,
,,,,,,919043879993344.0,,2,399,3.026681423187256,0.5788722038269043,
0.7346714735031128,179.1489715576172,9.10912036895752,57.781707763671875,0.15764713287353516,1.3611526489257812,1033924390158336.0,,2,449,3.4065425395965576,0.5295188426971436,
0.45803916454315186,64.20539855957031,1.2578167915344238,6.2364983558654785,0.20168638229370117,2.1832194328308105,1148804833214464.0,,2,499,2.259992837905884,0.7869462966918945,
1.1561228036880493,173.56459045410156,9.234335899353027,46.26686477661133,0.19958853721618652,0.8649600148200989,1263685410488320.0,,2,549,2.9434947967529297,0.47402000427246094,
,,,,,,1378565853544448.0,,3,599,1.9273838996887207,0.49875879287719727,
0.9636149406433105,181.70477294921875,9.022863388061523,51.941505432128906,0.17371201515197754,1.0377589464187622,1493446296600576.0,,3,649,1.814123511314392,0.4221491813659668,
0.9067308306694031,180.3450469970703,9.162456512451172,43.66623306274414,0.20982933044433594,1.102863073348999,1608326739656704.0,,3,699,1.6237549781799316,0.4358963966369629,
0.6976217031478882,173.61610412597656,8.562177658081055,41.68596649169922,0.2053971290588379,1.4334416389465332,1723207316930560.0,,3,749,1.8875372409820557,0.584282398223877,
,,,,,,1838087759986688.0,,4,799,1.6638392210006714,0.4944188594818115,
0.7403432726860046,174.17111206054688,7.888792037963867,40.822662353515625,0.19324541091918945,1.3507248163223267,1952968203042816.0,,4,849,2.300485134124756,0.49955058097839355,
0.8884863257408142,177.57908630371094,8.534891128540039,42.41918182373047,0.2012035846710205,1.1255097389221191,2067848780316672.0,,4,899,1.6954033374786377,0.40629148483276367,
0.5965576767921448,170.15789794921875,7.261730194091797,34.86066436767578,0.20830726623535156,1.676283836364746,2182729223372800.0,,4,949,1.9074122905731201,0.567337155342102,
,,,,,,2297609666428928.0,,5,999,1.906954050064087,0.5079324245452881,
