condition,source_coverage,n_true_cells,n_pred_cells,mean_pcc,mean_spearman,pcc_delta,spearman_delta,topk_de_overlap,auprc,pra_all_genes,pra_top100_true_de,true_range_mean,pred_range_mean,range_width_ratio
CCT4,3,217,182,0.9272231578234226,0.7477253458673189,0.31312615270999716,0.26286316804911486,0.19,0.1584035536040715,0.8728040294833775,0.7923832670176455,0.4533396624224284,0.5014894499130068,1.106211259282227
CCT7,3,141,192,0.9180040972792544,0.7248999475691056,0.33315880168617573,0.2588758690723787,0.18,0.16195569115014116,0.8347070160429177,0.7579796650182834,0.4706189033079688,0.4935359417680909,1.0486955109794438
CD3EAP,3,85,298,0.9398144611687606,0.7809497793623011,0.18671405119376347,0.0312947291019512,0.25,0.18218487058787516,0.904831750226252,0.7924968515943169,0.4588831626821248,0.5545998948855162,1.208586254414031
CDC123,3,96,114,0.9421399554410784,0.7696501550885329,0.28475722260163705,0.2130972462344633,0.19,0.13909712611872238,0.8846639570375924,0.8581861900265012,0.4378110053004399,0.5220182286811047,1.1923368997988302
CDC5L,3,77,112,0.9236128708950957,0.7392958344334146,0.5343601997003946,0.42853042380866113,0.43,0.357271208771651,0.8288470857974313,0.756927026872406,0.48190618347518854,0.5235454040381676,1.0864052197850056
CDC6,2,153,144,0.8912940410934911,0.6477639755537341,0.41238444783218814,0.26097698464694263,0.31,0.24830378892924812,0.8040693119885798,0.6476441819483526,0.45538236807391663,0.46669776934712504,1.024848109672289
CDC73,3,140,132,0.9332158583186837,0.7590567069384467,0.4917687935503949,0.4261123487715906,0.22,0.20434012711047086,0.7581967978081332,0.8149654684148092,0.5042343717486307,0.5209817308230161,1.0332134215368403
CENPE,1,171,34,0.8596942667763489,0.6403685998480309,0.22020054493222924,0.2031613204385945,0.29,0.20237148096539623,0.7268333008533554,0.5189074447475711,0.45832096527915156,0.4098768684915256,0.8943009170415561
CENPK,2,93,97,0.9083733427507263,0.7207983577932144,0.26102637269263695,0.21514289499330935,0.21,0.1649048797435257,0.8125090121883694,0.7368684496497887,0.4738448644381434,0.48696161966619755,1.0276815175928773
CEP192,3,184,106,0.9285682913790597,0.7643686291046968,0.3043765566327949,0.2519303419975704,0.28,0.2119927522704265,0.8602331782543569,0.7473506120075142,0.45449132689926125,0.48205644703138983,1.06065046326337
CHCHD4,3,132,354,0.9416318020887238,0.7957919764849181,0.27272995813917605,0.23802150982213702,0.2,0.14918307383907736,0.9023036999091809,0.820642246232243,0.44201762928496297,0.5356807007709948,1.2118989224899428
CHD4,3,33,203,0.9199900908056564,0.7417338554596745,0.1811459213903747,0.1488379457260294,0.2,0.1469856634393144,0.8511425757305121,0.8106846470144786,0.4254866530954269,0.546474107182396,1.2843507319519305
CHEK1,3,205,127,0.9326448389930446,0.7598948094238057,0.32806624173861215,0.3544515018790588,0.24,0.20587248989630585,0.8339770513115791,0.6835977799880701,0.4601346261368126,0.504842305695527,1.0971621478749567
CHMP1A,1,71,40,0.9170054627551529,0.7507766301323265,0.059161442235608874,0.08242291896204225,0.21,0.15922065009586253,0.8384459264581698,0.7007468947439949,0.44459857631625876,0.521298896953428,1.172515867116612
CHMP2A,1,61,21,0.9269534739413725,0.7277965981178488,0.16725569705242604,0.16056084754308445,0.22,0.15306627620344757,0.7841476977366338,0.5678990706563599,0.46745875298639045,0.4987004901458085,1.066833119053814
CINP,2,73,101,0.93241917814625,0.7682465701713058,0.05297922147924697,0.0638729194447155,0.22,0.15008149254272163,0.8726699314174697,0.7756550468098211,0.4245663084898828,0.5208726395855087,1.226834576605541
CKAP5,1,159,83,0.8756565495163936,0.6752218755987166,0.26085475734809543,0.24505901101753608,0.18,0.16992711620520395,0.7659319889205117,0.6757417253813132,0.47072581869054403,0.4595459166460788,0.976249631180075
CLNS1A,2,46,124,0.9286887513667316,0.7602661502999104,0.18994656623770229,0.2161080057109981,0.19,0.14902933365547172,0.8750244779338612,0.7921040583695791,0.4308396499506187,0.5126380647281473,1.1898581128462131
CLP1,2,51,52,0.924012157764308,0.7455896269348709,0.2078980157275059,0.1707592048075868,0.23,0.14389192758940178,0.8384435651954195,0.8030207016764525,0.4441483820141749,0.5381487425301126,1.2116417670446902
CMTR1,3,138,222,0.9305806650941808,0.8020027887060511,0.33792572229565626,0.020533389851207832,0.45,0.3540407437429046,0.8957001508144534,0.7762008691956808,0.49418946551225706,0.568369211274286,1.1501038355483737
CNOT2,3,64,241,0.9297900979658422,0.7924634659714094,0.39850359994331747,0.29535754645117857,0.28,0.21675236163842243,0.9228182570863386,0.7975969102943984,0.4463021041420878,0.5506732002932018,1.233857476457944
CNOT3,2,303,208,0.9279029147746285,0.8019017320825074,0.4017139279459396,0.3526991835935037,0.24,0.19984493145936452,0.9066344214574642,0.7897796747256927,0.4765847308049979,0.5388833348677097,1.1307188181423589
COPB1,2,56,34,0.897495299779852,0.6442256090697244,0.5472328967817016,0.3905250344433766,0.34,0.31637265844644247,0.792910630972784,0.7111119701395332,0.4859377120672625,0.5417149618872594,1.1147826918698778
COPS2,3,44,166,0.9343427334334099,0.7567257641140896,0.14770286566578375,0.12047404826073055,0.19,0.13419107934368038,0.8381626127684485,0.8346138302481698,0.44286704593446996,0.5192822476844514,1.1725465706378675
COPS4,3,253,173,0.940435752055239,0.78990705781405,0.23822757624016982,0.22251828195225995,0.18,0.12815027373843862,0.8771802094683905,0.8362581409509017,0.45723421305666967,0.5237873304999815,1.145555831316378
