model,mean_PCC_up,mean_Spearman_up,delta_PCC_up,delta_Spearman_up,GGE_Wasserstein_PCA50_down,GGE_MMD_PCA50_down,GGE_Energy_PCA50_down
go_txpert_pathway5000_unseen_1000k_fixed2000,0.9914921314020672,0.9589143816213026,0.4402741714914672,0.3268382005133382,0.8399943367585119,0.2083954902006626,0.2872764518753364
go_txpert_pathway5000_unseen_1100k_fixed2000,0.9911058742534199,0.9590726698030042,0.46907498240976175,0.3451163158386298,0.8235236216695302,0.19348570734199122,0.2745178316891131
go_txpert_pathway5000_unseen_1200k_fixed2000,0.9916619615800913,0.9595611214664284,0.4619753110663543,0.33895810024931444,0.8333086772628019,0.20383092198250824,0.28124838368111404
go_txpert_pathway5000_unseen_1300k_fixed2000,0.9910571785690275,0.9581735305786723,0.4760198908944768,0.3530793411100409,0.8166615579654917,0.1879616152727101,0.26953918572516966
go_txpert_pathway5000_unseen_1400k_fixed2000,0.9913827383384067,0.9586769420512001,0.4495629779045924,0.33186533925765005,0.8317751617121286,0.20022694929494195,0.28020417232916434
go_txpert_pathway5000_unseen_1500k_fixed2000,0.9909278073916636,0.9583586534999038,0.47105273705828,0.3497780554045217,0.8230164979853443,0.19346058002863678,0.2739619565388787
