baseline,seed,mean_pcc,mean_spearman,delta_pcc,delta_spearman,top100_de_overlap,auprc,erc_all,erc_100,csa_100_pearson
cell_weighted,20260601,0.9911264382407081,0.9622459001774696,0.3047257713775401,0.2200925491585393,0.2710079051383399,0.22651702266289628,0.8733412535703062,0.7568681079680216,0.6023557136329338
cell_weighted,20260713,0.9911213321376403,0.9622125637388499,0.3038280880621229,0.21871116394404105,0.2713833992094862,0.22668437297743013,0.8734322640519105,0.756761685205786,0.600997755991263
cell_weighted,20260714,0.9911293744523434,0.9622497131407295,0.30456537515097987,0.22025948940254853,0.27106719367588933,0.2269124698369363,0.8734718418951163,0.7570324779292541,0.6014009156275238
condition_balanced,20260601,0.9906312916918376,0.9596644364289539,0.30475168978051526,0.22224899257380654,0.26760869565217393,0.21886160709310007,0.8701074840537727,0.7580411365837845,0.6023557137508108
condition_balanced,20260713,0.9906264487189934,0.9596316829242904,0.3040282970126551,0.22099487110476942,0.2684782608695652,0.2189747012399045,0.8701976528072816,0.7579540747867666,0.600997756026823
condition_balanced,20260714,0.9906341986576779,0.9596706569121677,0.3046283027252789,0.22239940445781284,0.26891304347826084,0.21923769311908858,0.8702388714722182,0.7582161718415301,0.6014009156428705
