baseline,n_conditions,mean_pcc,mean_spearman,delta_pcc,delta_spearman,top100_de_overlap,auprc
cell_weighted,506,0.9911760285440452,0.9628210683613152,0.3081317131732134,0.23006274126174,0.27454545454545454,0.22843049997693454
condition_balanced,506,0.9906811018325221,0.9602438710897614,0.306934872762129,0.22901132301085328,0.2734584980237154,0.22009190171721535
