gene_rank,mean_delta_vs_control,q10_vs_control,q90_vs_control,min_vs_control,max_vs_control,abs_mean_delta
1,-0.39154255775925506,-0.7924770737193974,-0.0069570949318479005,-1.385334245977285,1.2484356405501937,0.39154255775925506
2,-0.37623691733374326,-0.8354977138294745,0.19341532672265777,-1.2325130578571877,1.2885754134374592,0.37623691733374326
3,-0.3432429514250585,-0.6781190102833822,-0.0030720824059246874,-1.742675916222495,0.9429665739610196,0.3432429514250585
4,-0.3389565447818421,-0.7186901241174068,0.03388513783149774,-1.5779219978681487,0.4613310242039589,0.3389565447818421
5,0.33891928074965827,-0.03303884397734425,0.6618927759560014,-1.0033718468344048,1.114894580220489,0.33891928074965827
6,-0.33383799403383113,-0.7684595132139221,0.09748649540642523,-1.3723361211833203,1.5297212265953828,0.33383799403383113
7,0.3282014843751148,-0.11304963620508919,0.6899121222142148,-1.9379430187978248,1.393189004670943,0.3282014843751148
8,0.31181912840251813,-0.06203064206213082,0.7079097791788633,-0.7555725295378548,1.4801457654347154,0.31181912840251813
9,0.30325675150752895,-0.030054031175421842,0.6553073859786925,-0.7956046523075744,1.0311181832507232,0.30325675150752895
10,0.3017108119411555,-0.020109218725151253,0.6750046472815562,-0.780594557892294,2.2817700081661236,0.3017108119411555
11,0.30031873650523877,-0.07659294727252174,0.6843414458064974,-1.010541607120996,1.4009172694650542,0.30031873650523877
12,-0.2930418143668254,-0.6325925485970805,-0.013199768636552735,-1.4464919736275472,0.8247832562656949,0.2930418143668254
13,-0.2836398983944818,-0.6657601784105107,0.05909456516216894,-1.2976837558223477,1.2590255837176163,0.2836398983944818
14,0.28313224364186723,-0.028303952000081806,0.6642717101561358,-1.8209557917821346,1.48606490963012,0.28313224364186723
15,-0.27770537071254375,-0.6670402745455075,0.10599321620407752,-2.373318356321029,0.9078878242466621,0.27770537071254375
16,-0.27580368547429696,-0.6384895017940259,0.041372538702755916,-1.2974851845094246,1.0891157830906382,0.27580368547429696
17,-0.2754880826100971,-0.6063739391958276,0.04654381203334904,-1.9180458553109299,0.6720271515752984,0.2754880826100971
18,-0.27486718371778657,-0.7560993668863776,0.2135285593101212,-2.0886863004016774,1.4318939059329687,0.27486718371778657
19,-0.267763340767156,-0.7211489163354888,0.0801395203941846,-1.4634917172835225,1.2272218502057257,0.267763340767156
20,0.26760108167112295,-0.043333461528872234,0.6871997476176758,-0.8768516863844966,1.5744740601254752,0.26760108167112295
21,-0.26538617830531375,-0.6697596744749841,0.08062078701342741,-1.8697141690001402,2.6698270280269685,0.26538617830531375
