rank,gene,mean_delta_vs_control,q10_delta_vs_control,q90_delta_vs_control,min_delta_vs_control,max_delta_vs_control,abs_mean_delta_rank_value
1,SRSF7,-1.3240446805834154,-1.4350688317327165,-0.8547927835492753,-1.4350688317327165,0.12100674123481281,1.3240446805834154
2,NEAT1,1.1627726036947685,-0.20552445347245504,2.404933658290545,-1.7529487460368471,3.1105389744526546,1.1627726036947685
3,H2AFZ,-0.8326168213186671,-1.9620559340073933,0.13395665830828016,-2.693428338105904,0.7870802277968059,0.8326168213186671
4,HMGN2,-0.7622022741529562,-1.8374010653266288,0.1302140383949897,-1.8374010653266288,0.6899851231804512,0.7622022741529562
5,HMGB1,-0.7534785080133226,-1.7724566717965387,0.18459369937350534,-2.755520083509185,0.7202213029043891,0.7534785080133226
6,TPM1,0.7508598329616533,-1.1306689646008004,2.7705140207049856,-1.1306689646008004,3.4506846997973932,0.7508598329616533
7,HMGB2,-0.7303110303985971,-1.3915383721037522,0.3791739320115431,-1.3915383721037522,1.2613585089997634,0.7303110303985971
8,TUBB,-0.7231462957287351,-1.4872027495994613,0.005544771800990101,-2.6359846929206894,0.5182563921318009,0.7231462957287351
9,STMN1,-0.7220295042712943,-2.236073164786246,0.2710761500941249,-2.236073164786246,0.9248646213160487,0.7220295042712943
10,TYMS,-0.7134309874714511,-1.3500184007585392,0.06689787426587471,-1.3500184007585392,0.8886118940412655,0.7134309874714511
11,MKI67,-0.7017554654929488,-1.1464574665584495,0.4147052436313697,-1.1464574665584495,1.7485859065494607,0.7017554654929488
12,SNHG29,0.6841584453003771,0.22867990401258975,1.1490969744013837,-0.5288432750416705,1.4827926245020917,0.6841584453003771
13,MT2A,0.679538958221396,-1.4811923233453803,2.930747679096026,-1.4811923233453803,3.4445107253606744,0.679538958221396
14,CENPF,-0.675784336008543,-1.3337552378403794,0.4394471814406253,-1.3337552378403794,2.0497467686903823,0.675784336008543
15,TUBA1B,-0.6718321218824624,-1.893824209671025,0.20782450248717818,-3.018166651229863,0.7613309722137407,0.6718321218824624
16,FTL,0.6709479002071762,0.018669694946686823,1.5428430977329415,-0.6305918750301198,2.629241699264924,0.6709479002071762
17,ANXA2,0.6546238867751974,-0.7753352272123208,2.0709293496996053,-1.2765239107221475,2.5343944204240927,0.6546238867751974
18,GAS5,0.6377468067129192,-0.04302668929762059,1.2905752861433584,-1.379661730534498,2.096079655879076,0.6377468067129192
