dataset,n_cells_used,n_genes,latent_shape,expr_mean,expr_std,expr_median,expr_q99,latent_mean,latent_std,latent_median,latent_q01,latent_q99,gaussian_weight,latent_noise_sigma
K562-only PatchAE,10918,5000,250x32,0.2094492296587179,0.40693964064841204,0.0,2.2112963867187503,-0.0018976693712569387,1.1238656463602585,0.002582841902039945,-2.5371366357803344,2.6217720627784735,0.001,0.08
Cross-cell PatchAE,12000,3352,168x32,0.26775130937360225,0.46374182752826687,0.0,2.405716011524202,-0.04312780767471089,2.9634141487552723,-0.02606098260730505,-6.996501355171204,6.548729496002197,0.0,0.08
