eval_set,n_eval_cells,num_conditions,n_genes,cell_pcc_mean,cell_pcc_median,cell_spearman_mean,cell_spearman_median,mse,mae,source_json
nontrain_val,12000,452,3352,0.996303016901,0.996711043556,0.886639300897,0.895227677379,0.0016345877666,0.0184451621026,external/scPLAD-assets/experiments/txpert_xcell_clean_pathway3352_go256_patchae_latent32_noise008_200ep_from150_v1/ae_eval_nontrain_val_testcontrol_12000.json
test_control_K562,10691,1,3352,0.995729267866,0.996048784863,0.906585084564,0.912168650612,0.00186719174962,0.0199883636087,external/scPLAD-assets/experiments/txpert_xcell_clean_pathway3352_go256_patchae_latent32_noise008_200ep_from150_v1/ae_eval_nontrain_val_testcontrol_12000.json
