variant,n_seeds,mean_pcc_n,mean_pcc_mean,mean_pcc_sd,mean_spearman_n,mean_spearman_mean,mean_spearman_sd,delta_pcc_n,delta_pcc_mean,delta_pcc_sd,delta_spearman_n,delta_spearman_mean,delta_spearman_sd,mse_n,mse_mean,mse_sd,mae_n,mae_mean,mae_sd,topk_de_overlap_n,topk_de_overlap_mean,topk_de_overlap_sd,auprc_n,auprc_mean,auprc_sd,pra_all_genes_n,pra_all_genes_mean,pra_all_genes_sd,pra_top100_true_de_n,pra_top100_true_de_mean,pra_top100_true_de_sd,csa_pearson_n,csa_pearson_mean,csa_pearson_sd,csa_spearman_n,csa_spearman_mean,csa_spearman_sd,gge_wasserstein_pca50_n,gge_wasserstein_pca50_mean,gge_wasserstein_pca50_sd,gge_mmd_pca50_n,gge_mmd_pca50_mean,gge_mmd_pca50_sd,gge_energy_pca50_n,gge_energy_pca50_mean,gge_energy_pca50_sd
Pathway order + full prior,3,3,0.9929668492417046,0.00013022206111782287,3,0.9620739952285562,0.00043985730893899883,3,0.4613150469646982,0.004050786885997022,3,0.34682649857043885,0.004490159328940324,3,0.0018772108756535339,3.6141983456899764e-05,3,0.0251214783650129,0.00028611306040294534,3,0.40558823529411764,0.002330139981983979,3,0.38145167192412416,0.0029385105136813757,3,0.8235850489291958,0.0013345583534274943,3,0.7875433045621848,0.0024815648548591946,3,0.6400590905121832,0.0012979492707466975,3,0.5910149459035124,0.00169739887093207,3,0.8372869642856802,0.0006630518656479944,3,0.21301475834961592,0.0006862353623257802,3,0.28321812892343295,0.0005368288759609636
Original order + full prior,3,3,0.9928939926947402,1.6693078959408047e-05,3,0.9611570722804877,0.0002017185510404221,3,0.465987924746183,0.006670583496880591,3,0.34327720711854925,0.006105079090213958,3,0.0019155735564138513,1.2281039364989704e-05,3,0.025598684505002536,0.00013532343345161804,3,0.40236519607843135,0.00621642510067443,3,0.37824918920944317,0.007077876934193807,3,0.8051343786219234,0.00432598672391912,3,0.7604305528473743,0.004815714164461254,3,0.6293041389638265,0.0011402804988605722,3,0.5827264228789515,0.0009209296937250474,3,0.8427260091288044,0.0018398304080614583,3,0.21689803374489805,0.0015392827587980304,3,0.28763033691224216,0.001870892959060575
GO + Reactome,3,3,0.9924561196676687,4.1276560687629743e-05,3,0.9608286530522424,4.216151327744931e-05,3,0.4604648187231453,0.0010356733956170497,3,0.3401375838815768,0.0005153336160550224,3,0.0020169403695963054,1.5879564257358484e-05,3,0.025989913887243865,0.00013611136858672482,3,0.4012132352941176,0.0024793698970716816,3,0.3766316231990706,0.0019645697331581286,3,0.8125344526182094,0.002751086369347074,3,0.776880663856922,0.0010093477419337463,3,0.6346235571091161,0.0010248833362423513,3,0.5867465390753204,0.000805570499778487,3,0.841942358318905,0.0009113345280919654,3,0.21616463512570716,0.0005738372219891395,3,0.28743466789544087,0.0008486792275683414
GO + Reactome + ESM3,3,3,0.9925885504713217,0.00010096682362605383,3,0.9610288886381861,0.0002895856219182058,3,0.45830825526256475,0.008022564056525112,3,0.34070164077337883,0.0051077673153184025,3,0.0019741957660823805,3.50154314066005e-05,3,0.02573202069684425,0.00018976985838836742,3,0.39274509803921565,0.00432674408634214,3,0.3677493749326348,0.0068979220335316236,3,0.8213110383756996,0.0016268989909182599,3,0.7878562625707819,0.001374358721264278,3,0.6375517533222113,0.0018925627112918774,3,0.5883610959201764,0.002159535156443337,3,0.8374180413222917,0.0003602506769484757,3,0.21252960162878623,0.0005975853023301412,3,0.2840606711233032,0.0003862078000035486
GO + Reactome + network,3,3,0.9928463851020329,2.3975858958430255e-05,3,0.9618144102508871,0.00022094222997139914,3,0.47820352975204444,0.004468484935322677,3,0.3543649161686725,0.00478809364686495,3,0.001920404631235607,1.601311034066888e-05,3,0.025501522033557513,0.0002075064825669553,3,0.41276960784313727,0.00419670902468011,3,0.391098472969233,0.003897691682841823,3,0.8160034232002528,0.00307235638778273,3,0.785801799123717,0.002092778580174661,3,0.6383488016487862,0.00257701484923751,3,0.5895282098210212,0.0025302799557335694,3,0.840220666984062,0.0014687283543955625,3,0.21508690002301217,0.001201989905883791,3,0.2852152719191465,0.0012540353460965426
