1784391029.162159801	1	1	0
1784391029.162159801	3	1	0
1784391039.255528101	1	1	0
1784391039.255528101	3	1	0
1784391049.355107147	1	4	0
1784391049.355107147	3	4	0
1784391059.451611476	1	1312	0
1784391059.451611476	3	1312	0
1784391069.548240797	1	1312	0
1784391069.548240797	3	1312	0
1784391079.650171226	1	1854	0
1784391079.650171226	3	1854	0
1784391089.943887111	1	1854	0
1784391089.943887111	3	1854	0
1784391100.050272095	1	1854	0
1784391100.050272095	3	1854	0
1784391110.278032883	1	1854	0
1784391110.278032883	3	1854	0
1784391120.378484925	1	4570	100
1784391120.378484925	3	1854	0
1784391130.913410352	1	4570	100
1784391130.913410352	3	1854	0
1784391141.006884732	1	4570	100
1784391141.006884732	3	2902	3
1784391151.118003793	1	5614	100
1784391151.118003793	3	5614	0
1784391161.227712317	1	5614	100
1784391161.227712317	3	5614	0
1784391171.591063573	1	5614	100
1784391171.591063573	3	5614	0
1784391181.708309320	1	5614	100
1784391181.708309320	3	5614	0
1784391192.229131370	1	5614	100
1784391192.229131370	3	5614	0
1784391202.329528164	1	5614	100
1784391202.329528164	3	5614	0
1784391212.868524945	1	5614	100
1784391212.868524945	3	5614	0
1784391223.019752832	1	5614	100
1784391223.019752832	3	5614	0
1784391233.483565550	1	5614	100
1784391233.483565550	3	5614	0
1784391244.828891325	1	5614	24
1784391244.828891325	3	5614	85
1784391254.910830176	1	5614	100
1784391254.910830176	3	5614	0
1784391264.994901708	1	5614	6
1784391264.994901708	3	5614	100
1784391275.118062695	1	5614	15
1784391275.118062695	3	5614	100
1784391285.824067232	1	5616	100
1784391285.824067232	3	5614	0
1784391295.924084619	1	5616	100
1784391295.924084619	3	5614	0
1784391306.189335476	1	5616	0
1784391306.189335476	3	5614	100
1784391318.460576679	1	5616	100
1784391318.460576679	3	5614	0
1784391328.556484351	1	5616	100
1784391328.556484351	3	5614	0
1784391338.635448839	1	5616	100
1784391338.635448839	3	5614	0
1784391348.759603284	1	5616	3
1784391348.759603284	3	5614	100
1784391361.898440549	1	5616	2
1784391361.898440549	3	5616	100
1784391372.528043929	1	5616	56
1784391372.528043929	3	5616	62
1784391382.622080296	1	5618	6
1784391382.622080296	3	5616	100
1784391392.715782182	1	5618	100
1784391392.715782182	3	5616	0
1784391403.393292301	1	5618	49
1784391403.393292301	3	5616	92
1784391413.497137553	1	5618	100
1784391413.497137553	3	5616	0
1784391423.602924115	1	5618	100
1784391423.602924115	3	5616	0
1784391434.017077669	1	5618	11
1784391434.017077669	3	5616	77
1784391444.126053183	1	5618	100
1784391444.126053183	3	5616	0
1784391454.205440128	1	5618	100
1784391454.205440128	3	5616	0
1784391464.294559640	1	5618	10
1784391464.294559640	3	5616	87
1784391474.400554685	1	5618	0
1784391474.400554685	3	5616	49
1784391484.489254442	1	5618	100
1784391484.489254442	3	5616	0
1784391494.579682681	1	5620	6
1784391494.579682681	3	5616	100
1784391506.645876274	1	5620	100
1784391506.645876274	3	5616	0
1784391516.729214175	1	5620	100
