condition,n_pred_cells,n_true_cells,mean_pcc,mean_spearman,delta_pcc,delta_spearman
NUP54,2000,266,0.991889564716179,0.9569538614323951,0.471217244134844,0.3386884297306071
NUP85,2000,107,0.9949757253847644,0.9656933669511638,0.48843049972741714,0.3596447498582311
NUTF2,2000,44,0.987047989160033,0.9275487608577693,0.45673625733698603,0.3222062773699885
OGFOD1,2000,101,0.9841912631326976,0.9277013782767624,0.16191367937385442,0.06698603629857347
OPA1,2000,53,0.9938039559953603,0.9569431957206898,0.4168099172816277,0.2060817374175009
ORC1,2000,477,0.9956619554913438,0.9711524850761937,0.4034593229052618,0.22584718168650827
OXA1L,2000,305,0.9957275034945033,0.9727114135373727,0.5914432777003233,0.407784964243873
PABPN1,2000,93,0.9852224185988142,0.9244404061424255,0.3443741611390795,0.22188972121316908
PAF1,2000,229,0.9805943884989946,0.9202171287323059,0.4862055941050046,0.4840262046127377
PAM16,2000,43,0.9873815506705967,0.9109891267246183,0.6457396971349615,0.4221348039426708
PAXBP1,2000,114,0.9930062983299794,0.9589925484217847,0.45668545461763715,0.36123047243519407
PCID2,2000,208,0.9984084016660223,0.9861009670377612,0.03371330845163297,0.005092472536146024
