source_context_count,n_conditions,k562_test_cells,n_seeds,mean_pcc_mean_across_seed_mean,mean_pcc_mean_across_seed_std,mean_pcc_cell_weighted_across_seed_mean,mean_pcc_cell_weighted_across_seed_std,mean_spearman_mean_across_seed_mean,mean_spearman_mean_across_seed_std,mean_spearman_cell_weighted_across_seed_mean,mean_spearman_cell_weighted_across_seed_std,delta_pcc_mean_across_seed_mean,delta_pcc_mean_across_seed_std,delta_pcc_cell_weighted_across_seed_mean,delta_pcc_cell_weighted_across_seed_std,delta_spearman_mean_across_seed_mean,delta_spearman_mean_across_seed_std,delta_spearman_cell_weighted_across_seed_mean,delta_spearman_cell_weighted_across_seed_std,topk_de_overlap_mean_across_seed_mean,topk_de_overlap_mean_across_seed_std,topk_de_overlap_cell_weighted_across_seed_mean,topk_de_overlap_cell_weighted_across_seed_std,auprc_mean_across_seed_mean,auprc_mean_across_seed_std,auprc_cell_weighted_across_seed_mean,auprc_cell_weighted_across_seed_std,wasserstein_mean_across_seed_mean,wasserstein_mean_across_seed_std,wasserstein_cell_weighted_across_seed_mean,wasserstein_cell_weighted_across_seed_std,energy_mean_across_seed_mean,energy_mean_across_seed_std,energy_cell_weighted_across_seed_mean,energy_cell_weighted_across_seed_std,kl_mean_across_seed_mean,kl_mean_across_seed_std,kl_cell_weighted_across_seed_mean,kl_cell_weighted_across_seed_std,pra_top100_mean_across_seed_mean,pra_top100_mean_across_seed_std,pra_top100_cell_weighted_across_seed_mean,pra_top100_cell_weighted_across_seed_std,csa_mean_across_seed_mean,csa_mean_across_seed_std,csa_cell_weighted_across_seed_mean,csa_cell_weighted_across_seed_std
0,506,70159,3,0.9897245823558795,0.00100673075326495,0.9899321435773819,0.0009371466387138828,0.954280950472549,0.0026002807588274934,0.9585457403633376,0.0026033657310345552,0.3080005706776736,0.03348639875382715,0.33460069087638544,0.03589870650369922,0.2239823342469145,0.019424579374085302,0.250811840070408,0.02138124633667177,0.31054018445322795,0.02067183599206588,0.32169073105374935,0.02219148960771541,0.25868432387610607,0.02176726895906031,0.2716828262559115,0.02371174345819595,0.2978911920476975,0.008158263291820728,0.28156457694379206,0.008354060144052952,0.24035976269810508,0.005791560378792618,0.2209273888021176,0.006203500955737851,0.47801311592933576,0.05291148603605884,0.4191183905537368,0.048908107492153345,0.8162689874867352,0.026205926270173693,0.8154271983218274,0.02678603684451787,0.5226278625052087,0.0033607376955521497,0.5613955277119854,0.005374508066884491
1,75,9853,3,0.9900404243328266,0.0011065914548890972,0.9913934479360637,0.0012190595099414705,0.9526526289940112,0.0031575957914879446,0.9595217450381687,0.00393060596871454,0.37099621590886384,0.029805721959922524,0.39343993920406023,0.030530163996035198,0.2542206728859657,0.020086072749939114,0.2811346378639374,0.020945423002210403,0.3383555555555556,0.017069444218425076,0.3528092966609155,0.02015888854383994,0.2880083890173975,0.01607087083672876,0.299700535471958,0.018266663769358947,0.28979940097181933,0.0058514998669129585,0.268220802599042,0.009927288202873912,0.23308239931444774,0.00380521384860369,0.2120785552197022,0.0072213316607862565,0.5093224464362641,0.05647127890740268,0.41208544675353315,0.04687536913033332,0.8214593403084406,0.026068256901054063,0.8341443133160147,0.026266496793284428,0.550771927866573,0.004031366335045827,0.590380058323356,0.006097814428710234
2,162,21450,3,0.9907773277103346,0.0011134749037206412,0.9907642649348904,0.0012770725658037357,0.9534091809713924,0.003633881955823593,0.9569114023927773,0.004446285404506048,0.43964852252331693,0.02779554406003645,0.469792414188588,0.029006021545020792,0.30132349506121786,0.01800861604983366,0.33138573136589294,0.019495388502273427,0.3575514403292181,0.01731416377523574,0.37545625485625483,0.018029148981971655,0.31319371940883795,0.02166223771919557,0.3352986911071638,0.023511224034291105,0.28514611715804283,0.008444161407719452,0.27376617052936353,0.010340340626784813,0.23424549381463353,0.005266606506274272,0.2180805319084457,0.006730510593749875,0.47151123095402464,0.05839974023701477,0.410860200580764,0.05123324487861148,0.8396222170401194,0.024114402526193825,0.8397693223268621,0.02421884338070459,0.545773744158158,0.004962116986684208,0.596469908508986,0.006346913950359623
3,343,48850,3,0.9897412592265736,0.0013153642724447856,0.9896830986988965,0.001389777575576711,0.9520511472917916,0.0038311035290799138,0.9556840786844166,0.003978120795008762,0.463845794460618,0.01869961202395297,0.4854373647018049,0.017054084200619293,0.3253577613311905,0.009043835472985243,0.35144093498927526,0.008269603088001136,0.37344023323615155,0.011998598857984225,0.3839035141589901,0.009815839087742839,0.331070482973907,0.016948849322318847,0.3436187454344947,0.013785459817966392,0.29135588764943426,0.012222423055841723,0.2756345641155659,0.013361632568396368,0.23752966551520494,0.008525860429723784,0.21756298660910087,0.009430243429843294,0.4401217821001255,0.04016907432585647,0.3794493952576789,0.035587225691562356,0.846764179009369,0.021613435909347403,0.8462451146305646,0.020871656761678483,0.547547770620184,0.007432312389856375,0.5916674025594869,0.009059588664436898
