anchor,Delta PCC,Top-k DE,PRA,CSA
K562,0.3435740802147781,0.3320553359683794,0.846442878753774,0.5191693427388523
RPE1,0.1866827801497552,0.2215612648221343,0.5869334347210429,0.4344644293450853
HepG2,0.1887523690896006,0.2072924901185771,0.5923124651657748,0.4845845068237993
Jurkat,0.1592759214779151,0.238794466403162,0.7315726350995513,0.5050772452369422
