forced_anchor_context,n_rows,n_conditions,mean_pcc_mean,mean_pcc_median,mean_pcc_cell_weighted,mean_spearman_mean,mean_spearman_median,mean_spearman_cell_weighted,delta_pcc_mean,delta_pcc_median,delta_pcc_cell_weighted,delta_spearman_mean,delta_spearman_median,delta_spearman_cell_weighted,forced_control_delta_pcc_mean,forced_control_delta_pcc_median,forced_control_delta_pcc_cell_weighted,forced_control_delta_spearman_mean,forced_control_delta_spearman_median,forced_control_delta_spearman_cell_weighted
RPE1,506,506,0.8653527779116688,0.8717583064901384,0.8662230278529788,0.6539174845551827,0.6635883047924442,0.6572031872819404,0.18668278014975526,0.1635453857490114,0.209509310939572,0.151599489280948,0.14764298001105752,0.17257145003421198,0.2638068092696767,0.2779721453230979,0.28812200167615243,0.19553937943020364,0.18860686665908855,0.21978408440460337
hepg2,506,506,0.9083379535769408,0.9149099238349678,0.9088178880207525,0.6914033113458623,0.7018520968523805,0.6946418652353248,0.18875236908960064,0.18662802850611376,0.2103407114598752,0.13290248253517548,0.1361743910397484,0.15153346422311287,0.26548305502563285,0.280624027004607,0.2900253327465858,0.195790841560256,0.18699096402093657,0.22011431476156817
jurkat,506,506,0.9317422989756226,0.9340864377700887,0.9319312926187107,0.7745987714501807,0.7788785454849283,0.7782022244964436,0.15927592147791517,0.138712447693119,0.1754476448754985,0.1258971465235012,0.11151974788399904,0.1421413554499692,0.3280391688366461,0.345111409271873,0.3534691040525993,0.23652696348032293,0.23225344432376355,0.2628688564434223
