forced_anchor_context,num_conditions,mean_pcc_mean,mean_spearman_mean,pcc_delta_mean,spearman_delta_mean,topk_de_overlap_mean,auprc_mean,wasserstein_mean,e_distance_mean,kl_divergence_mean,pra_top100_true_de_mean,csa_pearson_mean,mean_pcc_cell_weighted,mean_spearman_cell_weighted,pcc_delta_cell_weighted,spearman_delta_cell_weighted,topk_de_overlap_cell_weighted,auprc_cell_weighted,wasserstein_cell_weighted,e_distance_cell_weighted,kl_divergence_cell_weighted,pra_top100_true_de_cell_weighted,csa_pearson_cell_weighted
RPE1,506,0.8653527779116688,0.6539174845551827,0.18668278014975526,0.151599489280948,0.22156126482213437,0.1609712367102022,0.5137079951629533,0.28205037907322206,0.9796856378901689,0.5869334347210429,0.4344644293450853,0.8662230278529789,0.6572031872819404,0.20950931093957204,0.172571450034212,0.2335537849741302,0.16978964618214817,0.48238516464473863,0.25833969423821684,0.8850303122424265,0.5845085846097333,0.46773160574994194
hepg2,506,0.9083379535769408,0.6914033113458623,0.18875236908960066,0.13290248253517548,0.20729249011857712,0.15457563544980313,0.4875984434847841,0.2966943689108184,1.1092504299762036,0.5923124651657748,0.48458450682379933,0.9088178880207525,0.6946418652353248,0.21034071145987523,0.1515334642231129,0.21670163485796548,0.1618064186429402,0.4572112306329739,0.27289412388297957,1.0007898416539875,0.5898163394601758,0.5189544023377564
jurkat,506,0.9317422989756224,0.7745987714501807,0.15927592147791517,0.12589714652350126,0.23879446640316207,0.16987637874491604,0.435539280029184,0.27413415942785974,0.7403245241990255,0.7315726350995513,0.5050772452369422,0.9319312926187107,0.7782022244964435,0.17544764487549852,0.14214135544996923,0.24848372981370884,0.1786229394431759,0.4044949059380778,0.2468142958843068,0.6581835447364429,0.7288867840521152,0.5400343480796023
