baseline,n_conditions,k562_test_cells,mean_pcc_condition_mean,mean_pcc_condition_median,mean_pcc_cell_weighted,mean_spearman_condition_mean,mean_spearman_condition_median,mean_spearman_cell_weighted,delta_pcc_condition_mean,delta_pcc_condition_median,delta_pcc_cell_weighted,delta_spearman_condition_mean,delta_spearman_condition_median,delta_spearman_cell_weighted
k562_all_test_perturbed_mean_leaky,506,70159,0.9921256925046498,0.9943066539024854,0.9922265305853416,0.9671857549496037,0.9723735031191563,0.9715275121836281,0.4065282436769938,0.4216902806853904,0.4395546150727566,0.3102158654736075,0.30228183689120136,0.34597489437875023
k562_control_zero_delta,506,70159,0.9908332866894042,0.9932858823863537,0.9906339676533563,0.9644066553972854,0.9702304562041951,0.9680321476557648,,,0.0,,,0.0
source_all_raw_perturbed_mean,506,70159,0.9356424481530813,0.9381772481513899,0.9360977605763886,0.7820215761985732,0.7848339676608318,0.7859606743777413,0.14973451275314795,0.14442022951278033,0.16638641276119256,0.10867531987934705,0.11479890812348453,0.12267688053284692
source_avg_delta_plus_k562_control,506,70159,0.9911760324946873,0.9935616201771774,0.9911983367794401,0.9628210699180388,0.9676805575492805,0.966862295086428,0.3081315995632041,0.3099920104890666,0.3329869731102792,0.2300631122411277,0.22271863722716462,0.25369601674504133
