seed,source_context_count,n_conditions,k562_test_cells,mean_pcc_mean,mean_pcc_cell_weighted,mean_spearman_mean,mean_spearman_cell_weighted,delta_pcc_mean,delta_pcc_cell_weighted,delta_spearman_mean,delta_spearman_cell_weighted,topk_de_overlap_mean,topk_de_overlap_cell_weighted,auprc_mean,auprc_cell_weighted,wasserstein_mean,wasserstein_cell_weighted,energy_mean,energy_cell_weighted,kl_mean,kl_cell_weighted,pra_top100_mean,pra_top100_cell_weighted,csa_mean,csa_cell_weighted
seed20260601,0,506,70159,0.9888365794414926,0.9891144632556188,0.9513111166645016,0.9555611283234534,0.3435740802147781,0.372063978279537,0.2418906658568657,0.2703763191902449,0.3320553359683794,0.3445157428127539,0.2807824496571882,0.2954395123255627,0.306910074789335,0.2907403870973389,0.2470342928192422,0.2280487148519407,0.41806361997904,0.3638192545751529,0.846442878753774,0.8463093657243871,0.5191693427388523,0.5558962441492025
seed20260713,0,506,70159,0.9908182721441976,0.9909548183992298,0.95614865372581,0.9603488217974602,0.2770900601238871,0.3005037062625362,0.2033327407853221,0.227988087466117,0.2908300395256917,0.300192277541014,0.2372637314137672,0.2480162824224768,0.2910254664181115,0.2743991339119142,0.2366617243462236,0.2166970537851658,0.4977815518367894,0.4368428817936732,0.8031575888740363,0.8014729139432807,0.5258814381783716,0.5666359017517871
seed20260714,0,506,70159,0.989518895481948,0.9897271490772972,0.9553830810273356,0.959727270969099,0.3033375716943556,0.3312343880870831,0.2267235960985555,0.2540711135548621,0.3087351778656126,0.3203641728074801,0.2580067905573629,0.2715926840196949,0.295738034935646,0.2795542098221231,0.2373832709288493,0.2180363977692461,0.5181941759721778,0.4566930352923842,0.7992064948323955,0.7984993152978145,0.5228328065984018,0.5616544372349669
seed20260601,1,75,9853,0.9889690185865488,0.9901194909378888,0.9490113765508326,0.954984316965746,0.4043217453394109,0.4263137060426717,0.2728402709473563,0.2999538887415591,0.3555999999999999,0.3742230792651984,0.3024999388049033,0.3154726227524907,0.2964611314871164,0.2796748502977971,0.2372213611891218,0.220109120507444,0.4456204260456685,0.3584977198479259,0.8515550079384457,0.8644742370235012,0.5479360133414101,0.586101505453664
seed20260713,1,75,9853,0.9911791296463964,0.9925489640556568,0.954635648769066,0.961882508772846,0.3468877895250405,0.3659768368496318,0.2329345119477443,0.2585687366585816,0.3214666666666667,0.3341987212016645,0.2707242313844779,0.2796859324624073,0.2854907522009881,0.2628870274609163,0.2322901804424681,0.2100075325441896,0.5291092620851047,0.4322787893994197,0.8069035535313838,0.8189538619515841,0.5553867752010553,0.5973622501831216
seed20260714,1,75,9853,0.9899731247655342,0.9915118888146456,0.9543108616621344,0.9616984093759144,0.36177911286214,0.3880292747198773,0.2568872357627964,0.2848812881916713,0.3379999999999999,0.3500060895158834,0.2908009968628114,0.3039430512009759,0.2874463192273534,0.2621005300384126,0.2297356563117532,0.2061190126074729,0.5532376511780192,0.4454798310132539,0.8059194594554925,0.8190048409729587,0.5489929950572535,0.5876764193332823
seed20260601,2,162,21450,0.989709117992073,0.9894645727697392,0.9492272421888882,0.9518009187398688,0.4704631145305127,0.500706082895091,0.3187645579787828,0.3491846250184864,0.3758024691358024,0.3934736596736596,0.3360311275229565,0.3583511288377069,0.2935139224531606,0.2845953789084643,0.2399937160689525,0.2255500503324513,0.4069820433726397,0.3542227672274741,0.867292994619918,0.8676726923801494,0.5404258948529491,0.589307133747496
seed20260713,2,162,21450,0.9919311279459,0.9920174471967328,0.9557978735283552,0.9598928736449388,0.4164670410854773,0.4431727799536472,0.2827964736463154,0.3105502168700358,0.341358024691358,0.3574153846153846,0.2929380398525011,0.311354078964169,0.2766276167451927,0.2639962444585458,0.2296521968981701,0.2124871458544813,0.486819480141129,0.4243803957719529,0.8284794961265621,0.8274312758753264,0.550228956504012,0.6013945419507306
seed20260714,2,162,21450,0.9906917371930312,0.9908107748381996,0.955202427196934,0.9590404147935244,0.4320154119539608,0.4654983797170258,0.3024094535585555,0.3344223522091566,0.3554938271604938,0.3754797202797202,0.3106119908510562,0.3361908655196154,0.2852968122757752,0.2727068882210805,0.2330905684767779,0.2162043995384045,0.5207321693483052,0.4539774387428649,0.8230941603738778,0.8242039987251103,0.546666381117513,0.5987080498287314
seed20260601,3,343,48850,0.9885091969689298,0.9883993323885591,0.9477034765088488,0.951177185991238,0.4854261757923189,0.5051234973953451,0.3354766629042575,0.3605644683243076,0.3872886297376093,0.3952311156601842,0.3505173733953251,0.359457211469595,0.3049173483974906,0.2905269064299456,0.2473496365143119,0.2284225879681753,0.3952069846060279,0.3393812205659386,0.8714742520298807,0.8700378621974945,0.5389835133694667,0.5812441437085658
seed20260713,3,343,48850,0.9911265108141664,0.991158912159851,0.9549325654154494,0.958706539822028,0.4524304269956548,0.4751654363713431,0.3180629507797953,0.3444384328083343,0.3661516034985422,0.3785785056294779,0.3194424818953681,0.3343225056508043,0.2811909716805892,0.2646959969060458,0.232014350973185,0.2114394389385115,0.4525517057539947,0.3915868589531317,0.837442264702092,0.8376736360920036,0.5513509516825833,0.5961090300603953
seed20260714,3,343,48850,0.989588069896625,0.9894910515482792,0.9535173999510764,0.957168510239984,0.4536807805938804,0.4760231603387262,0.3225336703095187,0.3493199038351838,0.3668804664723032,0.377900921187308,0.3232515936310277,0.3370765191830848,0.2879593428702229,0.2716807890107063,0.2332250090581178,0.2128269329206157,0.4726066559403538,0.4073801062539665,0.8313760202961343,0.8310238456021958,0.552308846808502,0.5976490339094997
