condition,source_context_count,pcc_delta,topk_de_overlap,pra_top100_true_de,csa_pearson
RBBP8,0,0.263575998772169,0.22,0.1537670859360255,0.1814573125062309
RBM14,0,-0.0385691573868788,0.17,0.1292047661714455,0.129915596568327
RBM19,0,0.5288581441791,0.49,0.1966521983054811,0.3005842465012281
RBM4,0,0.3161932684353995,0.27,0.1524514499504238,0.2478261865992655
RBMX2,0,0.7718431969363733,0.49,0.1422806138027652,0.1866846865890694
RBX1,0,0.3548561775059622,0.32,0.1361606167154527,0.125962230305836
RCC1,0,0.2963893910774254,0.26,0.1651033354968804,0.2612910368543451
RFC1,0,0.436879350910194,0.32,0.1416567075533447,0.1285294722679382
RFC3,0,0.5203577066375829,0.38,0.1507616596208706,0.1709766961609982
RIOK1,0,0.7441674273470088,0.63,0.1958595034804807,0.4249427731323007
RNF40,0,0.5373162246232344,0.38,0.1610692533216891,0.2132283821711771
RNGTT,0,0.2332029373998802,0.23,0.179848144658174,0.1629765023055221
RNPC3,0,0.4104768560806184,0.28,0.1417257753351451,0.095921167104284
ROMO1,0,0.5268874586816654,0.44,0.1679236240656256,0.2245182989481617
RPA2,0,0.5642583563015278,0.43,0.1283670325654068,0.0764803998553118
RPA3,0,0.5641647070846952,0.46,0.1408733012255836,0.2103596619693767
