model,context,condition,gene_set,top_k,n_true_cells,n_pred_cells,n_corr_pairs,csa_pearson,csa_spearman
TxPert_official_cell_gat_k562_all_fixed2000,K562,NACA,top_true_de,100,315,2000,4950,0.15155937391702232,0.14182657606400953
TxPert_official_cell_gat_k562_all_fixed2000,K562,NAE1,top_true_de,100,80,2000,4950,0.11657232439435625,0.10313787904579927
TxPert_official_cell_gat_k562_all_fixed2000,K562,NARS,top_true_de,100,149,2000,4950,0.14998994247198186,0.1522177084257752
TxPert_official_cell_gat_k562_all_fixed2000,K562,NAT10,top_true_de,100,28,2000,4950,0.2527285294426717,0.2507600818903237
TxPert_official_cell_gat_k562_all_fixed2000,K562,NBAS,top_true_de,100,94,2000,4851,0.16666916336000753,0.16150620171299435
TxPert_official_cell_gat_k562_all_fixed2000,K562,NCAPH,top_true_de,100,64,2000,4950,0.1980724209475143,0.18899432609141642
TxPert_official_cell_gat_k562_all_fixed2000,K562,NCBP1,top_true_de,100,53,2000,4950,0.3979026558695844,0.39362056624955233
TxPert_official_cell_gat_k562_all_fixed2000,K562,NCBP2,top_true_de,100,765,2000,4950,0.39787149183940984,0.4063150448202829
TxPert_official_cell_gat_k562_all_fixed2000,K562,NCKAP1,top_true_de,100,64,2000,4950,0.09495035398734385,0.08718348957225161
TxPert_official_cell_gat_k562_all_fixed2000,K562,NCL,top_true_de,100,138,2000,4950,0.17485738462588948,0.16511630767279545
TxPert_official_cell_gat_k562_all_fixed2000,K562,NDC80,top_true_de,100,171,2000,4851,0.11731219382904486,0.11931583643516352
TxPert_official_cell_gat_k562_all_fixed2000,K562,NDUFA2,top_true_de,100,111,2000,4851,0.13605954320384883,0.13418240794990224
TxPert_official_cell_gat_k562_all_fixed2000,K562,NDUFA6,top_true_de,100,151,2000,4950,0.3119913425787702,0.27559115040766763
TxPert_official_cell_gat_k562_all_fixed2000,K562,NDUFA8,top_true_de,100,85,2000,4950,0.13534712911856053,0.1206926072514011
TxPert_official_cell_gat_k562_all_fixed2000,K562,NDUFAB1,top_true_de,100,143,2000,4950,0.21204209604040972,0.18416846196592088
TxPert_official_cell_gat_k562_all_fixed2000,K562,NDUFB10,top_true_de,100,148,2000,4950,0.28310577323099645,0.26392575653016226
TxPert_official_cell_gat_k562_all_fixed2000,K562,NDUFB4,top_true_de,100,147,2000,4851,0.21251550739695294,0.18920527126564574
TxPert_official_cell_gat_k562_all_fixed2000,K562,NDUFB8,top_true_de,100,174,2000,4950,0.2281264348289011,0.2221095119046156
TxPert_official_cell_gat_k562_all_fixed2000,K562,NEDD1,top_true_de,100,134,2000,4950,0.19830094690012348,0.19491543038862352
TxPert_official_cell_gat_k562_all_fixed2000,K562,NEDD8,top_true_de,100,190,2000,4950,0.18559808216186324,0.16933017208249704
TxPert_official_cell_gat_k562_all_fixed2000,K562,NELFA,top_true_de,100,82,2000,4851,0.21243764335555285,0.1787804537060936
TxPert_official_cell_gat_k562_all_fixed2000,K562,NELFB,top_true_de,100,125,2000,4950,0.32420366894726915,0.32023971061445233
TxPert_official_cell_gat_k562_all_fixed2000,K562,NELFCD,top_true_de,100,174,2000,4950,0.26847811588559606,0.22236056983412175
TxPert_official_cell_gat_k562_all_fixed2000,K562,NELFE,top_true_de,100,66,2000,4950,0.14831941200789642,0.1195185905014188
TxPert_official_cell_gat_k562_all_fixed2000,K562,NEPRO,top_true_de,100,42,2000,4950,0.2781074187769386,0.27442155868561513
TxPert_official_cell_gat_k562_all_fixed2000,K562,NFRKB,top_true_de,100,223,2000,4950,0.32734278925775867,0.2862520731357881
TxPert_official_cell_gat_k562_all_fixed2000,K562,NFS1,top_true_de,100,75,2000,4950,0.19577645664703675,0.18705547118918667
TxPert_official_cell_gat_k562_all_fixed2000,K562,NIFK,top_true_de,100,203,2000,4950,0.15713841109764765,0.1431461407634009
TxPert_official_cell_gat_k562_all_fixed2000,K562,NIP7,top_true_de,100,216,2000,4851,0.21852681683767453,0.21073472332180465
TxPert_official_cell_gat_k562_all_fixed2000,K562,NKAP,top_true_de,100,106,2000,4851,0.12404248437161218,0.12193956362491393
TxPert_official_cell_gat_k562_all_fixed2000,K562,NLE1,top_true_de,100,396,2000,4950,0.20121046679983906,0.1893454192347705
TxPert_official_cell_gat_k562_all_fixed2000,K562,NMD3,top_true_de,100,57,2000,4950,0.1961682575845372,0.17873676625243962
TxPert_official_cell_gat_k562_all_fixed2000,K562,NOB1,top_true_de,100,45,2000,4950,0.4491122825659316,0.4421599356296702
TxPert_official_cell_gat_k562_all_fixed2000,K562,NOC3L,top_true_de,100,73,2000,4950,0.19075952765774684,0.17897026624496418
TxPert_official_cell_gat_k562_all_fixed2000,K562,NOC4L,top_true_de,100,32,2000,4950,0.20350100383482012,0.19223366776267237
TxPert_official_cell_gat_k562_all_fixed2000,K562,NOL11,top_true_de,100,219,2000,4950,0.30756183196993053,0.2948688706108192
TxPert_official_cell_gat_k562_all_fixed2000,K562,NOL12,top_true_de,100,83,2000,4950,0.24466946959359911,0.228053051414977
TxPert_official_cell_gat_k562_all_fixed2000,K562,NOL6,top_true_de,100,107,2000,4950,0.35710702055212523,0.3436289063636102
TxPert_official_cell_gat_k562_all_fixed2000,K562,NOL8,top_true_de,100,70,2000,4851,0.18319135990458618,0.16229455967167336
TxPert_official_cell_gat_k562_all_fixed2000,K562,NOLC1,top_true_de,100,106,2000,4851,0.15471391972457504,0.1345337726087993
TxPert_official_cell_gat_k562_all_fixed2000,K562,NOM1,top_true_de,100,65,2000,4950,0.3105029981266527,0.29095161287982757
TxPert_official_cell_gat_k562_all_fixed2000,K562,NOP10,top_true_de,100,124,2000,4950,0.5082653164317457,0.4832393877271642
TxPert_official_cell_gat_k562_all_fixed2000,K562,NOP14,top_true_de,100,38,2000,4851,0.22211894070808527,0.22386471880262154
TxPert_official_cell_gat_k562_all_fixed2000,K562,NOP16,top_true_de,100,133,2000,4851,0.1554017217474785,0.13134427666178083
TxPert_official_cell_gat_k562_all_fixed2000,K562,NOP2,top_true_de,100,56,2000,4950,0.1226646065781543,0.11183012361805267
TxPert_official_cell_gat_k562_all_fixed2000,K562,NOP58,top_true_de,100,39,2000,4950,0.24910743811578626,0.23584351793767
TxPert_official_cell_gat_k562_all_fixed2000,K562,NPLOC4,top_true_de,100,52,2000,4950,0.12707547142017384,0.12344957536656552
TxPert_official_cell_gat_k562_all_fixed2000,K562,NRBP1,top_true_de,100,62,2000,4950,0.3488089271095339,0.32756452756475607
TxPert_official_cell_gat_k562_all_fixed2000,K562,NRDE2,top_true_de,100,495,2000,4950,0.24683603332487689,0.20945512047567064
TxPert_official_cell_gat_k562_all_fixed2000,K562,NRF1,top_true_de,100,71,2000,4950,0.0806365006537246,0.07580028464802216
TxPert_official_cell_gat_k562_all_fixed2000,K562,NSA2,top_true_de,100,71,2000,4950,0.2785772113482963,0.2546097599219894
TxPert_official_cell_gat_k562_all_fixed2000,K562,NSRP1,top_true_de,100,188,2000,4851,0.06244763557003596,0.0822739664595262
TxPert_official_cell_gat_k562_all_fixed2000,K562,NUBP1,top_true_de,100,144,2000,4950,0.13421700938965864,0.13061873244896857
TxPert_official_cell_gat_k562_all_fixed2000,K562,NUDC,top_true_de,100,106,2000,4950,0.23711372874782638,0.21805176762508255
TxPert_official_cell_gat_k562_all_fixed2000,K562,NUDCD3,top_true_de,100,108,2000,4950,0.1575123986541479,0.14772906091222476
TxPert_official_cell_gat_k562_all_fixed2000,K562,NUDT21,top_true_de,100,57,2000,4950,0.043473220214150676,0.0365853710256124
TxPert_official_cell_gat_k562_all_fixed2000,K562,NUF2,top_true_de,100,404,2000,4851,0.14377181166675826,0.14853066115746918
TxPert_official_cell_gat_k562_all_fixed2000,K562,NUFIP1,top_true_de,100,57,2000,4950,0.3326665165074943,0.2910485170834157
TxPert_official_cell_gat_k562_all_fixed2000,K562,NUMA1,top_true_de,100,203,2000,4851,0.1722386386545968,0.16060144045472358
TxPert_official_cell_gat_k562_all_fixed2000,K562,NUP107,top_true_de,100,237,2000,4950,0.26908813470449755,0.27676178118267303
TxPert_official_cell_gat_k562_all_fixed2000,K562,NUP133,top_true_de,100,70,2000,4950,0.2352752580027196,0.2138497333012292
TxPert_official_cell_gat_k562_all_fixed2000,K562,NUP160,top_true_de,100,234,2000,4950,0.14895988756083314,0.15039909585375658
TxPert_official_cell_gat_k562_all_fixed2000,K562,NUP54,top_true_de,100,266,2000,4950,0.22996531306777648,0.20941044525517763
TxPert_official_cell_gat_k562_all_fixed2000,K562,NUP62,top_true_de,100,86,2000,4851,0.10983227372770994,0.10532895115379665
TxPert_official_cell_gat_k562_all_fixed2000,K562,NUP85,top_true_de,100,107,2000,4950,0.22610539623974854,0.19204928434343602
TxPert_official_cell_gat_k562_all_fixed2000,K562,NUP88,top_true_de,100,35,2000,4950,0.08094609086523555,0.08382888346749175
TxPert_official_cell_gat_k562_all_fixed2000,K562,NUP98,top_true_de,100,410,2000,4950,0.12954168334357036,0.1436194911211202
TxPert_official_cell_gat_k562_all_fixed2000,K562,NUTF2,top_true_de,100,44,2000,4950,0.1063628035092161,0.10130020843006973
