seed,anchor,Delta PCC,Top-k DE,PRA,CSA
20260601,HepG2,0.1887523690896006,0.2072924901185771,0.5923124651657748,0.4845845068237993
20260713,HepG2,0.1573551037169435,0.1851581027667984,0.5615724737720778,0.4689397697132412
20260714,HepG2,0.1701628462039119,0.203498023715415,0.5293044861520382,0.472193476199053
20260601,Jurkat,0.1592759214779151,0.238794466403162,0.7315726350995513,0.5050772452369422
20260713,Jurkat,0.1167868143656903,0.2155138339920949,0.6820722298220572,0.514716751520977
20260714,Jurkat,0.1380159979676756,0.2378853754940711,0.6811398639660728,0.513099354328628
20260601,K562,0.3435740802147781,0.33205533596837944,0.846442878753774,0.5191693427388523
20260713,K562,0.27709006012388715,0.29083003952569175,0.8031575888740363,0.5258814381783716
20260714,K562,0.3033375716943556,0.30873517786561266,0.7992064948323955,0.5228328065984018
20260601,RPE1,0.1866827801497552,0.2215612648221343,0.5869334347210429,0.4344644293450853
20260713,RPE1,0.1689022272756404,0.2029051383399209,0.5740541354686832,0.426002964991693
20260714,RPE1,0.1769498504927283,0.2211857707509881,0.560211448140306,0.4282239361735389
