model,condition,gene_set,top_k,n_true_cells,n_pred_cells,n_corr_pairs,csa_pearson,csa_spearman
TxPert_exphormer_mg_fixed2000,MRPL50+ctrl,top_true_de,100,147,2000,4851,0.30659576889334367,0.29534520210066306
TxPert_exphormer_mg_fixed2000,RPP14+ctrl,top_true_de,100,53,2000,4950,0.27860181491730496,0.2962254108336979
TxPert_exphormer_mg_fixed2000,RPL9+ctrl,top_true_de,100,180,2000,4950,0.12597162368966475,0.13510833066332117
TxPert_exphormer_mg_fixed2000,PRPF8+ctrl,top_true_de,100,91,2000,4950,0.1376765812380767,0.1397228974048481
TxPert_exphormer_mg_fixed2000,HSPE1+ctrl,top_true_de,100,25,2000,4950,0.23326897191597445,0.23291132326766117
TxPert_exphormer_mg_fixed2000,ECD+ctrl,top_true_de,100,69,2000,4950,0.14296138039829065,0.14643742301179524
TxPert_exphormer_mg_fixed2000,RPL10+ctrl,top_true_de,100,215,2000,4950,0.14152432667875237,0.1692960037433015
TxPert_exphormer_mg_fixed2000,AP2S1+ctrl,top_true_de,100,96,2000,4950,0.11214124342355256,0.10454845684899075
TxPert_exphormer_mg_fixed2000,TSEN2+ctrl,top_true_de,100,168,2000,4950,0.27015171710225006,0.24715418337162628
TxPert_exphormer_mg_fixed2000,PIAS4+ctrl,top_true_de,100,173,2000,4950,0.13751187214333044,0.13658891601961978
TxPert_exphormer_mg_fixed2000,MRPS11+ctrl,top_true_de,100,90,2000,4851,0.24158554445689523,0.22592183795298798
TxPert_exphormer_mg_fixed2000,BYSL+ctrl,top_true_de,100,87,2000,4950,0.40456955223498847,0.3963987909225837
TxPert_exphormer_mg_fixed2000,ZCRB1+ctrl,top_true_de,100,141,2000,4851,0.17630053483734964,0.16611238663456476
TxPert_exphormer_mg_fixed2000,GNL3L+ctrl,top_true_de,100,66,2000,4950,0.11502950083202446,0.11248345611233737
TxPert_exphormer_mg_fixed2000,CDC23+ctrl,top_true_de,100,158,2000,4950,0.08161594698407401,0.07660084813587727
TxPert_exphormer_mg_fixed2000,DBR1+ctrl,top_true_de,100,96,2000,4950,0.11702017223200945,0.11067847965098158
TxPert_exphormer_mg_fixed2000,NSA2+ctrl,top_true_de,100,71,2000,4950,0.18758024853077948,0.17080549083931593
TxPert_exphormer_mg_fixed2000,CTR9+ctrl,top_true_de,100,197,2000,4950,0.3127921158150091,0.3193972158686443
TxPert_exphormer_mg_fixed2000,DLD+ctrl,top_true_de,100,283,2000,4950,0.08672008872522688,0.08494940205029203
TxPert_exphormer_mg_fixed2000,RBM28+ctrl,top_true_de,100,55,2000,4950,0.1272947186930479,0.12269845267372088
TxPert_exphormer_mg_fixed2000,PSMB1+ctrl,top_true_de,100,106,2000,4950,0.464849513531172,0.4768447115487602
TxPert_exphormer_mg_fixed2000,FTSJ3+ctrl,top_true_de,100,153,2000,4950,0.058411905956012,0.05628735410113708
TxPert_exphormer_mg_fixed2000,WDR82+ctrl,top_true_de,100,86,2000,4950,0.14810559739260498,0.14936502445829064
