model,context,condition,gene_set,top_k,n_true_cells,n_pred_cells,n_corr_pairs,csa_pearson,csa_spearman
direct_source_expression,K562,SPCS3,top_true_de,100,115,277,4851,0.3684996462411869,0.3283170578671091
direct_source_expression,K562,SRBD1,top_true_de,100,143,189,4950,0.559519132120898,0.5523654248120122
direct_source_expression,K562,SRRM1,top_true_de,100,136,151,4950,0.27667041459145214,0.21341894345082305
direct_source_expression,K562,SRRM2,top_true_de,100,146,135,4950,0.19409644722080557,0.14277935388376406
direct_source_expression,K562,SRSF1,top_true_de,100,117,90,4950,0.3235806926153622,0.2878946197580611
direct_source_expression,K562,SRSF10,top_true_de,100,120,172,4950,0.1783803521577083,0.1604520525919343
direct_source_expression,K562,SRSF3,top_true_de,100,15,25,4950,0.2690031361338017,0.2668281796914104
direct_source_expression,K562,SRSF7,top_true_de,100,100,189,4950,0.22203755748517934,0.17231443347633207
direct_source_expression,K562,SS18L2,top_true_de,100,130,34,4851,0.22163891472762076,0.1863608430490041
direct_source_expression,K562,SSBP1,top_true_de,100,115,38,4950,0.5146588274839778,0.45155347426052944
direct_source_expression,K562,SSU72,top_true_de,100,55,627,4950,0.31997914496230373,0.29970943829530244
direct_source_expression,K562,STARD7,top_true_de,100,98,23,4950,0.27418594242551725,0.20956871710155445
direct_source_expression,K562,STRAP,top_true_de,100,91,197,4950,0.22148220886805983,0.16841867094305915
direct_source_expression,K562,SUGP1,top_true_de,100,146,122,4950,0.3680681395830135,0.29776998422104045
direct_source_expression,K562,SUPT16H,top_true_de,100,82,114,4950,0.4672452650872282,0.4626534466273555
direct_source_expression,K562,SUPT5H,top_true_de,100,367,77,4950,0.5508198725294509,0.5461562063279315
direct_source_expression,K562,SUPV3L1,top_true_de,100,74,96,4950,0.369109775411618,0.300306407064352
direct_source_expression,K562,SURF6,top_true_de,100,113,224,4851,0.43063612721857936,0.34014774066836473
direct_source_expression,K562,TADA3,top_true_de,100,139,185,4851,0.43336312725513676,0.3884314030123238
direct_source_expression,K562,TAF10,top_true_de,100,38,187,4950,0.385837946902998,0.3678689373807557
direct_source_expression,K562,TAF1C,top_true_de,100,128,127,4950,0.4250592086939845,0.3440784024321417
direct_source_expression,K562,TAF6,top_true_de,100,111,211,4950,0.4555390806183501,0.4096681238080814
direct_source_expression,K562,TAF7,top_true_de,100,84,177,4851,0.39145528604455426,0.3505359963700208
direct_source_expression,K562,TBCB,top_true_de,100,97,122,4851,0.22853830942691564,0.20245449179578345
direct_source_expression,K562,TBL3,top_true_de,100,70,47,4950,0.3820720402099384,0.3622909893741239
direct_source_expression,K562,TCERG1,top_true_de,100,93,154,4950,0.1389377082335407,0.11169640921734206
direct_source_expression,K562,TCOF1,top_true_de,100,86,177,4950,0.3874419742628187,0.3441812076293758
direct_source_expression,K562,TELO2,top_true_de,100,73,143,4950,0.2907950550289399,0.2672593182013678
direct_source_expression,K562,TERF2,top_true_de,100,47,223,4851,0.41454829055357245,0.4204050631564786
direct_source_expression,K562,THAP11,top_true_de,100,60,392,4950,0.10453805396875093,0.07552323040910061
direct_source_expression,K562,THOC6,top_true_de,100,115,156,4950,0.15043600843194083,0.12057508840344416
direct_source_expression,K562,THOC7,top_true_de,100,104,430,4950,0.3313189747541983,0.334499928601593
direct_source_expression,K562,TIMM13,top_true_de,100,162,222,4950,0.27783911160249253,0.20312356265820442
direct_source_expression,K562,TIMM23B,top_true_de,100,480,847,4950,0.6942466167142775,0.6812936652508443
direct_source_expression,K562,TIMM44,top_true_de,100,38,188,4950,0.31463727695515975,0.3312041539480969
direct_source_expression,K562,TIMM9,top_true_de,100,183,68,4950,0.36004438549085965,0.315360392646258
direct_source_expression,K562,TMX2,top_true_de,100,94,404,4950,0.3531029778771117,0.38127295505654335
direct_source_expression,K562,TOMM22,top_true_de,100,89,261,4950,0.6206346278970684,0.5930340959025517
direct_source_expression,K562,TOP1,top_true_de,100,91,165,4851,0.33056932244373893,0.27775503124215595
direct_source_expression,K562,TPR,top_true_de,100,68,206,4950,0.23703694383194276,0.23071943641340417
direct_source_expression,K562,TPX2,top_true_de,100,212,120,4851,0.4471362580616712,0.42764699253886723
direct_source_expression,K562,TRA2B,top_true_de,100,139,207,4950,0.23918011695446798,0.17537155502037366
direct_source_expression,K562,TREX2,top_true_de,100,275,384,4950,0.42928118153014416,0.3888496639885711
direct_source_expression,K562,TRMT10C,top_true_de,100,67,74,4851,0.38263643947028053,0.2816695725390802
direct_source_expression,K562,TRMT112,top_true_de,100,150,332,4950,0.5765745522913118,0.5521100977817763
direct_source_expression,K562,TRMT5,top_true_de,100,93,177,4950,0.49499732294595694,0.484403829300444
direct_source_expression,K562,TSEN2,top_true_de,100,168,256,4950,0.6308648171640584,0.5789527266116196
direct_source_expression,K562,TSG101,top_true_de,100,83,84,4950,0.6144544693818521,0.5932948169651567
direct_source_expression,K562,TSR1,top_true_de,100,109,599,4950,0.6327716358036687,0.5878321706918732
direct_source_expression,K562,TTI1,top_true_de,100,146,236,4950,0.22625805247115274,0.1894025506244374
direct_source_expression,K562,TTK,top_true_de,100,185,148,4950,0.5079495677485708,0.45870422698641067
direct_source_expression,K562,TUBGCP2,top_true_de,100,226,211,4950,0.2994996404207676,0.26899368863015427
direct_source_expression,K562,TXNL4A,top_true_de,100,66,46,4950,0.15791461924606434,0.13734098416952192
direct_source_expression,K562,U2AF1,top_true_de,100,141,113,4950,0.6711016377840995,0.6748345618530458
direct_source_expression,K562,U2SURP,top_true_de,100,263,104,4950,0.5592734256019847,0.5088069593772183
direct_source_expression,K562,UBA1,top_true_de,100,251,95,4950,0.15728534876516756,0.13669799580257283
direct_source_expression,K562,UBA3,top_true_de,100,94,92,4851,0.16089644860026958,0.13027261578717517
direct_source_expression,K562,UBA52,top_true_de,100,44,393,4950,0.3231098477716405,0.31466340775850626
direct_source_expression,K562,UBAP1,top_true_de,100,102,101,4950,0.4566162100212521,0.44123636625922524
direct_source_expression,K562,UBL5,top_true_de,100,198,213,4950,0.6467831749716016,0.6481440798789914
direct_source_expression,K562,UBQLN4,top_true_de,100,145,184,4950,0.42725291094090584,0.3955587698391189
direct_source_expression,K562,UFM1,top_true_de,100,119,133,4851,0.24050432066233943,0.18610680610228952
direct_source_expression,K562,UPF1,top_true_de,100,115,78,4950,0.25446317420749565,0.19178631717721872
direct_source_expression,K562,UPF2,top_true_de,100,133,189,4851,0.34951639115760663,0.2696581031771112
direct_source_expression,K562,UQCC2,top_true_de,100,83,30,4950,0.20699449961011454,0.15544602269987134
direct_source_expression,K562,UQCRB,top_true_de,100,93,175,4950,0.28792898841428005,0.20839268695149676
direct_source_expression,K562,UQCRFS1,top_true_de,100,114,92,4950,0.2827604663947947,0.2315502213826756
direct_source_expression,K562,UQCRQ,top_true_de,100,148,168,4950,0.4395166012068757,0.35004743406092176
direct_source_expression,K562,USP36,top_true_de,100,151,42,4950,0.4958992642590479,0.3701317374718687
direct_source_expression,K562,USP39,top_true_de,100,166,157,4950,0.639588626263393,0.6355734443101645
direct_source_expression,K562,USPL1,top_true_de,100,96,68,4950,0.2611335135577049,0.213751281005701
direct_source_expression,K562,UTP20,top_true_de,100,92,211,4950,0.4930321617070122,0.46892285380212173
direct_source_expression,K562,UTP23,top_true_de,100,160,308,4950,0.5620373029313445,0.528794780755492
direct_source_expression,K562,UXT,top_true_de,100,206,155,4851,0.32927594581436925,0.28890671021346687
direct_source_expression,K562,VPS54,top_true_de,100,306,230,4950,0.5603027776755499,0.5279497616907886
direct_source_expression,K562,WAC,top_true_de,100,93,162,4950,0.24815548757923062,0.1444711272969019
direct_source_expression,K562,WBP11,top_true_de,100,205,148,4950,0.5269775639372275,0.5286241833388652
direct_source_expression,K562,WDHD1,top_true_de,100,175,153,4950,0.20093515732035655,0.18141760172497035
direct_source_expression,K562,WDR12,top_true_de,100,174,250,4950,0.24768882556023075,0.21314647808211745
direct_source_expression,K562,WDR24,top_true_de,100,78,44,4950,0.2889226126917711,0.2686893118101706
direct_source_expression,K562,WDR33,top_true_de,100,79,113,4950,0.44540232849681416,0.4300374449252063
direct_source_expression,K562,WDR61,top_true_de,100,98,117,4950,0.16103451488241938,0.15255758490246854
direct_source_expression,K562,WDR82,top_true_de,100,86,34,4851,0.1385475849920341,0.11360477644870946
direct_source_expression,K562,WDTC1,top_true_de,100,107,70,4950,0.1973000301797563,0.15153060898610848
