condition,n_pred_cells,txpert_source_cells,delta_l2,generated_mean,generated_std
CEP192,100,2000,2.555368661880493,0.2547157108783722,0.45146453380584717
COPS2,100,2000,2.575388193130493,0.2580810785293579,0.4462757706642151
COX11,100,2000,1.4715193510055542,0.2562773525714874,0.4532358646392822
CPSF4,100,2000,3.700263023376465,0.25014662742614746,0.44565096497535706
CSTF3,100,2000,3.5119526386260986,0.25215256214141846,0.44460394978523254
CUL2,100,2000,2.3501570224761963,0.25851476192474365,0.4428563117980957
DSN1,100,2000,3.603708505630493,0.2559337317943573,0.44151026010513306
DYNC1I2,100,2000,2.6437828540802,0.25553402304649353,0.44722485542297363
EIF2B1,100,2000,3.5871896743774414,0.25233224034309387,0.456769734621048
EIF3D,100,2000,6.802552223205566,0.24045409262180328,0.4634581506252289
EXOSC10,100,2000,1.371559739112854,0.26059690117836,0.44584527611732483
GFER,100,2000,1.9564776420593262,0.2579598128795624,0.44994789361953735
GRB2,100,2000,1.2352577447891235,0.25795498490333557,0.4526875615119934
INTS4,100,2000,3.731968879699707,0.2549220025539398,0.4524903893470764
MCM2,100,2000,2.531442880630493,0.25977540016174316,0.4495173394680023
MPHOSPH10,100,2000,3.9126663208007812,0.259991854429245,0.4251862168312073
MRPL43,100,2000,1.5471009016036987,0.25743165612220764,0.4564291834831238
MRPS14,100,2000,3.641373634338379,0.2647467255592346,0.44379550218582153
MRPS9,100,2000,1.3317041397094727,0.2573069632053375,0.4575275182723999
NDC80,100,2000,4.392744064331055,0.25209230184555054,0.44392383098602295
PCID2,100,2000,1.2685034275054932,0.26069584488868713,0.45058515667915344
PDAP1,100,2000,1.4300259351730347,0.2574039399623871,0.45478928089141846
PHB2,100,2000,5.150773525238037,0.2530811131000519,0.4527866542339325
POLD2,100,2000,3.483355760574341,0.25846508145332336,0.445328027009964
POLR2L,100,2000,2.6742894649505615,0.2576707899570465,0.44009414315223694
POLR3E,100,2000,1.8476003408432007,0.25915640592575073,0.45159265398979187
POP4,100,2000,3.5273818969726562,0.2574056386947632,0.4302031397819519
PPIE,100,2000,2.7486190795898438,0.25678619742393494,0.45082664489746094
PPIH,100,2000,1.6167794466018677,0.2581341564655304,0.4493115544319153
PPP2R1A,100,2000,1.2511215209960938,0.2590837776660919,0.4493444263935089
PSMA7,100,2000,5.979430198669434,0.25839465856552124,0.426567018032074
PSMB6,100,2000,4.524474143981934,0.2614274024963379,0.44001200795173645
RBM39,100,2000,3.622861385345459,0.25473183393478394,0.45549899339675903
RNMT,100,2000,3.7123262882232666,0.2689019739627838,0.43234366178512573
RNPS1,100,2000,2.311239242553711,0.25802716612815857,0.4472217857837677
RPL35,100,2000,5.51322078704834,0.25964272022247314,0.4281499683856964
RPP30,100,2000,3.4537315368652344,0.25837069749832153,0.4293815791606903
RPS2,100,2000,4.717010498046875,0.2616919279098511,0.4222714900970459
RPS29,100,2000,4.973389148712158,0.2646911144256592,0.4212726354598999
RPS3,100,2000,5.769484043121338,0.2640143036842346,0.4135582447052002
RPS4X,100,2000,3.3702316284179688,0.2606518268585205,0.42763110995292664
RPTOR,100,2000,3.404399871826172,0.24876265227794647,0.45505788922309875
SETDB1,100,2000,0.5575791597366333,0.258838951587677,0.45528778433799744
SF3B5,100,2000,6.3542327880859375,0.25543296337127686,0.45689472556114197
SNAPC1,100,2000,2.445798635482788,0.2595939040184021,0.4540907144546509
SRSF1,100,2000,3.2422099113464355,0.25866392254829407,0.4435451328754425
TAF10,100,2000,4.518454551696777,0.25710397958755493,0.42454034090042114
TAF7,100,2000,4.215346813201904,0.25228938460350037,0.4336201548576355
TTI1,100,2000,3.036669969558716,0.25583934783935547,0.4427972733974457
TUBGCP2,100,2000,3.726153612136841,0.25313979387283325,0.44957825541496277
U2AF1,100,2000,5.299562931060791,0.2628626525402069,0.4492533206939697
U2SURP,100,2000,4.3239898681640625,0.26096683740615845,0.46108436584472656
USP36,100,2000,1.9674923419952393,0.257628470659256,0.4414067268371582
ZBTB17,100,2000,0.8357922434806824,0.258960098028183,0.45407864451408386
ZFC3H1,100,2000,1.910727620124817,0.26051560044288635,0.44539380073547363
