model,display_rank,gene,true_q10,true_q90,true_mean,pred_q10,pred_q90,pred_mean,range_coverage
scPLAD,1,MARCKSL1,-0.9087612628936768,0.08406742811202994,-0.4881068766117096,-0.5815359075864156,0.3372646808624269,-0.09796342998743057,0.6704110605669631
scPLAD,2,MT-ND6,-1.2392487525939941,-0.3976434051990509,-0.920375406742096,-1.2804425080617268,-0.7212409814198811,-1.1059101819992065,0.615499619599049
scPLAD,3,MT-ND4L,-1.0171750783920288,-0.009930050373077393,-0.5611947178840637,-0.9020315309365591,-0.08603361845016434,-0.6102001667022705,0.8101285087416106
scPLAD,4,MT-ND5,-1.5990150332450865,-0.0928569316864016,-0.8197830319404602,-2.144382921854655,-0.4576191504796343,-1.5292617082595825,0.7578194358110549
scPLAD,5,MT-CYB,-1.5758228540420531,0.11192867755889879,-0.6466675400733948,-3.536280687650045,-1.124080220858255,-2.7014987468719482,0.2676594420004989
scPLAD,6,MT-ATP6,-2.505207562446594,-0.3299054145812989,-1.4485143423080444,-4.036351529757182,-1.212170759836832,-2.9181416034698486,0.5944171037934509
scPLAD,7,MT-CO2,-2.078315281867981,-0.16350359916687032,-1.0694024562835693,-4.157434256871542,-1.0088463385899855,-2.9519386291503906,0.5585243462528698
scPLAD,8,MT-ND3,-1.8284122228622437,-0.0229395627975464,-0.8284097909927368,-2.9706018050511678,-0.7936157584190356,-2.206040143966675,0.5731443556758855
scPLAD,9,MT-ND1,-1.4581629395484925,-0.02148218154907241,-0.7017763257026672,-2.992838311195373,-0.5973226984341934,-2.0254669189453125,0.5991868661991551
scPLAD,10,MIF,-1.0904902935028076,0.01602526903152445,-0.512612521648407,-0.8520083208878835,0.17192827463150026,-0.29877448081970215,0.7844748138302623
scPLAD,11,PRDX1,-1.08237122297287,-0.11091706752777111,-0.5856679677963257,-1.2070429166158039,0.11281743844350185,-0.47876474261283875,1.0
scPLAD,12,EIF5A,-1.0064735412597656,0.029340231418609464,-0.49956145882606506,-0.873197239637375,0.11354849338531503,-0.35845687985420227,0.8713317923184501
scPLAD,13,LDHA,-1.0929458141326904,0.02472857236862177,-0.5209788084030151,-1.0716559052467345,0.10339787403742484,-0.4024336040019989,0.9809515999086278
scPLAD,14,NCL,-1.500240135192871,-0.11817048788070686,-0.7674382925033569,-1.0457826256752014,0.15858223438262944,-0.40259453654289246,0.6711761159059573
scPLAD,15,HSPD1,-1.108102524280548,-0.03912296295166023,-0.5267661213874817,-1.147784952322642,0.13057969411214207,-0.47406721115112305,1.0
scPLAD,16,HSPA8,-1.291107392311096,-0.0062628984451294795,-0.6474520564079285,-1.51772757768631,0.34506686131159475,-0.447433203458786,1.0
scPLAD,17,HSPE1,-1.3378401160240174,-0.1142391920089722,-0.7429572939872742,-1.5796592394510907,-0.004202822844187259,-0.7400667071342468,1.0
scPLAD,18,PTMA,-1.4232736706733704,-0.22067210674285892,-0.785079300403595,-0.9511930425961812,-0.0069533507029215244,-0.4543498456478119,0.6074505120929089
scPLAD,19,RANBP1,-1.258225107192993,-0.015048694610595747,-0.6488390564918518,-2.112563014030457,0.1315062522888185,-0.7223780751228333,1.0
scPLAD,20,HMGB1,-1.239599311351776,0.17277028560638427,-0.5167620182037354,-1.091963235537211,0.1498834093411767,-0.3933230936527252,0.8792646397607042
scPLAD,21,TUBA1B,-1.4438116431236268,0.28432981967926024,-0.565529465675354,-1.7138546943664552,0.1883664687474571,-0.5922074317932129,0.9444701993457414
scPLAD,22,NME1,-1.3829350471496582,-0.027303838729858438,-0.587781548500061,-1.270404314994812,0.09601272741953569,-0.5689991116523743,0.9169901581964771
scPLAD,23,HSP90AA1,-1.1013641357421875,-0.04488284587860109,-0.5647585988044739,-1.0993067502975464,0.014172069231669254,-0.5121142864227295,0.9980526058867482
scPLAD,24,HIST1H1C,-1.1229499578475952,-0.12361791133880619,-0.7272053360939026,-0.6718767603238422,0.7619595090548201,-0.18823368847370148,0.548625305172993
scPLAD,25,PHGDH,-0.09571504592895508,1.0569012761116028,0.5408003926277161,-0.23803131679693856,0.42819524705410017,0.07387062907218933,0.4545400606990711
scPLAD,26,DDIT4,-0.09793896973133087,1.1605131983757018,0.6102067828178406,-0.1151999667286873,0.6494094888369245,0.12181466817855835,0.5938632214305126
scPLAD,27,TRIB3,-0.12752249836921692,1.0274544119834896,0.509687066078186,-0.09728781133890152,1.1141580740610761,0.29913052916526794,0.9738222584717453
scPLAD,28,TCEA1,0.01172510981559756,1.0360468864440917,0.5301353931427002,-0.4519508620103201,0.7509611566861473,0.22328992187976837,0.7216834238394398
