condition,n_test_cells,n_pred_cells,n_genes,mean_pearson,mean_spearman,perturbation_effect_pearson,perturbation_effect_spearman,r_squared,mse,wasserstein_1_pca50,mmd_pca50,energy_pca50
ACTR8+ctrl,242.0,2000.0,5000.0,0.9956370038182104,0.9771469222218766,0.23427151341185143,0.18393006611361698,0.9912722399458289,0.0011012295167101753,0.7906772304081031,0.5312309515381702,0.3869830519000834
ALG13+ctrl,167.0,2000.0,5000.0,0.9982457969282701,0.9783038414031123,0.2406146265323716,0.20371256843872645,0.9964929327834398,0.00045360776218065173,0.8495881857500927,0.5078850482728502,0.3954399768857894
ANKRD11+ctrl,184.0,2000.0,5000.0,0.9955175153366174,0.9797320591647958,-0.239936429257737,-0.15003626377225318,0.9892371241003275,0.0014725352497842782,0.7806289169267742,0.5202636564271939,0.38939077605452604
AP2S1+ctrl,96.0,2000.0,5000.0,0.99605061417359,0.9703975484479023,0.41141375867008995,0.3043613743462831,0.9920214377343655,0.0010179261094255814,1.0474044736841197,0.5061954702965302,0.5192485401940758
ARGLU1+ctrl,367.0,2000.0,5000.0,0.997179316942791,0.9840439154897566,-0.07958635144104295,-0.016087360053424888,0.9940126975998282,0.0007914374926697432,0.6589031555036676,0.5492169708422922,0.31737068506597454
ARIH1+ctrl,57.0,2000.0,5000.0,0.9956413485933837,0.9590804329302351,0.4541335112182155,0.2878789658009769,0.9907538611441851,0.0011476387704077112,1.2540503323944725,0.5145509122255599,0.592136428036402
ARPC4+ctrl,188.0,2000.0,5000.0,0.9979332846401868,0.9823986250879451,0.16503851085242596,0.1426718135091449,0.9957340499386191,0.0005449762435449426,0.8196515416658637,0.508921362924207,0.39271253573075526
ATP6AP1+ctrl,114.0,2000.0,5000.0,0.9980765851308036,0.9761658850774915,0.7194762128165924,0.5001570252263075,0.996149769751355,0.0004892922800898931,0.9860918500335544,0.5120519352367734,0.471240469983776
BGLAP+ctrl,236.0,2000.0,5000.0,0.9987097768405103,0.9865970012712367,0.7687266405876986,0.5437730069871224,0.9972935903351754,0.00033592832802365244,0.8905166920034275,0.5112220865985033,0.4046135857667711
BMS1+ctrl,18.0,2000.0,5000.0,0.9887435683736813,0.9138447384230283,0.7297605758892182,0.44270079153203157,0.9772468935698271,0.0026341945525819627,2.1426832995502116,0.49850649225742627,1.0424489945387079
BRIX1+ctrl,95.0,2000.0,5000.0,0.9926430389918262,0.961663825744713,0.5670790655666664,0.3975169987902204,0.9847192475572228,0.001840271473186411,1.1609848075939881,0.5023438119214488,0.5164277504066292
BYSL+ctrl,87.0,2000.0,5000.0,0.9976680725658822,0.9759139095708222,0.8982750761045439,0.6585271463884999,0.9953191545791924,0.0005490100151993542,1.1077698860225145,0.5104049615639176,0.5347710725964474
C1QBP+ctrl,189.0,2000.0,5000.0,0.9964882429970264,0.9821139254605566,0.5409341546331272,0.3815038717379353,0.9929144135676324,0.0008771666941577006,0.8462858204108599,0.5176964518327152,0.4024742247104133
CCDC86+ctrl,235.0,2000.0,5000.0,0.9962200658579501,0.980965355829701,0.8285084153641707,0.6716107127206657,0.9924345058389008,0.0009634317467963985,0.7621455384986416,0.5179842232204473,0.36732576774919523
CDC123+ctrl,96.0,2000.0,5000.0,0.9971157193832642,0.972432964936657,0.31267061331174045,0.2378110100895628,0.9941404885612428,0.0007644002103280077,1.0132167059803272,0.527615246809712,0.48189891421688186
CDC23+ctrl,158.0,2000.0,5000.0,0.9977287269716271,0.98013700160548,0.5905148889458114,0.41166557070190274,0.9953905157744884,0.0005873508351014254,0.8911421871842368,0.4737495274023804,0.37857056853964016
CDC40+ctrl,84.0,2000.0,5000.0,0.99728652943381,0.9663649557745977,0.7138180745499735,0.5645632919671802,0.9944314961321652,0.0007035553510959472,1.1615088446077977,0.5158689053126443,0.5542023248203918
CENPC+ctrl,116.0,2000.0,5000.0,0.9978180151757706,0.9768692107942132,0.7178415152413962,0.5001303658092179,0.9955816580913961,0.0005417930490163916,1.1367689130017262,0.5060525094360994,0.5292070907587655
CENPE+ctrl,171.0,2000.0,5000.0,0.997911327526472,0.9823584742854921,0.6050773945800598,0.4288449328909665,0.9958114069886506,0.0005257464959192083,0.890797283491333,0.500964697034595,0.4067130001809526
CHERP+ctrl,54.0,2000.0,5000.0,0.9937112797020095,0.9521621776498945,0.5134956780006148,0.35753214579160897,0.987384787760675,0.0016526512296234387,1.2229102547831712,0.5204173852508976,0.5966954766850437
CHMP6+ctrl,620.0,2000.0,5000.0,0.9986949134592622,0.991239677929377,0.8944671558885331,0.7995925712988932,0.9971366843674332,0.0003640741589185061,0.6321617504725082,0.517567854766598,0.2947276729276361
CNIH4+ctrl,65.0,2000.0,5000.0,0.9946714013981637,0.9594069692633046,0.3469108985131329,0.2186912016911396,0.9893673323094845,0.0013479806182657963,1.2567886240398023,0.5155659035603782,0.6257892085761156
COG2+ctrl,332.0,2000.0,5000.0,0.998667961756751,0.9889198727087949,0.4717860428429426,0.34557332302410787,0.997277163900435,0.00035171032650661296,0.6852104718425902,0.5421807711137729,0.3304581297210699
CPSF3+ctrl,575.0,2000.0,5000.0,0.9958297141291012,0.9788002789035025,0.7308135605256956,0.5871301606832976,0.9916760120540857,0.0010558395815692162,0.6304641448582741,0.5557771135159034,0.3238140691991627
CPSF4+ctrl,57.0,2000.0,5000.0,0.9873238084309068,0.929344052058873,0.4734316517832292,0.3217504357500174,0.9745821990072727,0.003210704541283653,1.4081792133409132,0.5086970844761588,0.6724098819659184
CSTF1+ctrl,129.0,2000.0,5000.0,0.9951208901083978,0.9683258426355132,0.4544250646534683,0.3179663653655482,0.9899812499061227,0.0012384319888373244,1.032225680216082,0.4990974987902529,0.4772479050636031
CSTF3+ctrl,59.0,2000.0,5000.0,0.9902013387699659,0.9393811786406748,0.33965674908849813,0.23461696395594014,0.9801573008298874,0.0024794294362872385,1.3098034122352713,0.491236486323547,0.6356569012968103
CTR9+ctrl,197.0,2000.0,5000.0,0.9886919904683756,0.9467515609167841,0.7655692694189794,0.6741594727750981,0.9753989689052105,0.0031989872763361887,1.0090515735746903,0.5486573733682281,0.5176882490455553
CUL1+ctrl,181.0,2000.0,5000.0,0.9978025153876499,0.9802322846812913,0.33213664422181866,0.1954802776752111,0.9954042630270123,0.0005946169210874746,0.8415376233822347,0.5238283178218793,0.40889901165561127
CWC15+ctrl,144.0,2000.0,5000.0,0.9937133593271225,0.9682367541534697,0.8831853769406977,0.8014145488055177,0.9864543033763766,0.0018089837164510093,0.9954236269640114,0.5112227433141066,0.49449123380455345
